PlayDate,N01,N02,N03,N04,N05,N06,N07,N08
2021-12-31,7,25,30,35,38,40,49,27
2021-12-28,11,12,21,27,32,43,49,15
2021-12-24,3,11,24,25,29,32,42,16
2021-12-21,13,23,26,27,28,38,47,36
2021-12-17,9,14,16,33,39,46,49,38
2021-12-14,3,21,22,26,28,44,49,34
2021-12-10,17,21,27,32,45,46,49,19
2021-12-07,9,16,19,24,27,34,40,7
2021-12-03,7,18,22,35,37,43,45,44
2021-11-30,4,7,8,22,24,30,49,42
2021-11-26,9,26,30,35,37,42,50,47
2021-11-23,14,17,25,27,31,32,34,20
2021-11-19,1,13,14,17,25,28,41,43
2021-11-16,5,6,7,17,26,29,42,38
2021-11-12,4,6,7,10,17,27,44,40
2021-11-09,2,8,16,17,19,26,42,41
2021-11-05,2,10,11,17,19,32,42,41
2021-11-02,7,13,18,30,33,37,41,6
2021-10-29,1,5,17,18,38,41,48,13
2021-10-26,2,8,10,14,21,36,40,17
2021-10-22,2,11,19,33,44,45,47,42
2021-10-19,12,26,28,32,41,43,50,49
2021-10-15,14,17,20,24,25,38,48,11
2021-10-12,7,11,13,30,38,40,43,45
2021-10-08,5,16,19,21,23,31,36,46
2021-10-05,2,10,18,19,25,42,48,21
2021-10-01,4,8,15,39,40,42,48,5
2021-09-28,2,5,8,18,23,31,35,43
2021-09-24,5,13,28,35,41,49,50,34
2021-09-21,4,8,11,14,15,34,45,7
2021-09-17,3,6,10,26,29,35,45,30
2021-09-14,17,24,27,33,38,41,48,39
2021-09-10,11,28,38,40,43,45,48,33
2021-09-07,5,8,31,36,41,42,43,39
2021-09-03,1,2,4,10,27,33,45,31
2021-08-31,3,11,23,26,31,42,50,24
2021-08-27,9,10,13,25,41,47,49,36
2021-08-24,1,24,26,29,30,45,50,5
2021-08-20,2,6,21,31,34,39,45,33
2021-08-17,5,16,18,33,37,38,39,35
2021-08-13,1,14,17,20,28,32,38,6
2021-08-10,14,18,19,32,35,38,41,27
2021-08-06,14,15,24,43,44,48,49,47
2021-08-03,4,5,9,15,24,36,48,50
2021-07-30,4,12,18,19,22,25,44,43
2021-07-27,5,12,13,32,36,40,48,49
2021-07-23,7,8,13,21,35,38,45,15
2021-07-20,2,13,15,19,38,39,46,34
2021-07-16,13,17,24,26,33,46,48,27
2021-07-13,2,6,12,13,17,36,48,25
2021-07-09,11,21,32,33,38,40,44,19
2021-07-06,10,14,25,26,38,41,50,49
2021-07-02,6,14,35,37,40,43,46,19
2021-06-29,6,17,22,23,32,37,47,13
2021-06-25,10,13,18,33,36,45,47,22
2021-06-22,7,11,22,28,33,44,49,10
2021-06-18,11,14,15,24,34,43,47,36
2021-06-15,2,8,12,13,14,36,43,29
2021-06-11,20,21,25,33,38,44,45,22
2021-06-08,1,9,14,24,26,37,42,29
2021-06-04,2,3,16,28,31,42,47,12
2021-06-01,6,20,21,28,38,43,47,40
2021-05-28,7,18,22,40,44,46,50,5
2021-05-25,6,9,11,19,24,38,46,18
2021-05-21,5,6,25,31,32,44,48,39
2021-05-18,5,9,18,27,32,38,40,34
2021-05-14,3,18,19,24,26,27,45,20
2021-05-11,14,15,20,32,35,38,50,46
2021-05-07,1,8,17,21,35,39,46,31
2021-05-04,1,23,27,33,39,45,49,40
2021-04-30,2,14,27,30,31,35,43,38
2021-04-27,7,11,14,26,27,29,36,2
2021-04-23,1,3,4,11,19,24,42,27
2021-04-20,7,10,11,19,22,30,37,18
2021-04-16,1,13,19,27,42,49,50,32
2021-04-13,15,16,18,19,22,44,47,28
2021-04-09,1,19,28,29,31,33,43,17
2021-04-06,2,14,24,25,35,44,45,11
2021-04-02,30,32,33,34,37,45,49,25
2021-03-30,12,22,25,30,37,38,45,2
2021-03-26,2,4,16,24,25,27,49,29
2021-03-23,5,6,12,28,29,36,46,40
2021-03-19,2,7,8,26,30,43,48,25
2021-03-16,8,15,25,27,33,39,44,20
2021-03-12,5,12,15,23,28,38,39,46
2021-03-09,3,7,16,22,29,31,42,15
2021-03-05,6,9,23,25,31,36,48,30
2021-03-02,9,29,30,36,42,46,49,47
2021-02-26,11,17,19,22,27,31,40,38
2021-02-23,3,13,14,20,30,45,49,35
2021-02-19,1,5,10,18,20,40,42,47
2021-02-16,1,6,12,21,34,37,47,20
2021-02-12,2,5,10,11,14,23,33,47
2021-02-09,4,12,16,17,33,36,44,2
2021-02-05,1,2,23,32,35,36,45,28
2021-02-02,17,24,27,34,38,42,48,19
2021-01-29,9,11,20,22,33,36,46,49
2021-01-26,26,37,42,44,46,49,50,24
2021-01-22,11,21,23,25,28,41,43,10
2021-01-19,23,31,34,38,40,45,50,41
2021-01-15,5,23,31,35,36,37,43,13
2021-01-12,4,12,13,15,18,30,50,34
2021-01-08,4,21,24,25,26,27,42,8
2021-01-05,1,16,21,24,35,37,39,45
2021-01-01,18,21,28,29,31,32,49,38
