PlayDate,N01,N02,N03,N04,N05,N06,N07,N08
2012-12-28,1,9,25,28,32,41,48,12
2012-12-21,7,8,17,18,20,40,41,33
2012-12-14,3,6,10,33,39,48,49,18
2012-12-07,5,11,22,29,38,42,49,33
2012-11-30,3,10,13,23,31,41,45,33
2012-11-23,6,8,10,17,28,29,38,34
2012-11-16,1,5,9,19,27,35,48,30
2012-11-09,8,9,11,22,24,42,46,13
2012-11-02,1,2,5,26,29,36,47,13
2012-10-26,3,4,20,25,30,35,48,23
2012-10-19,1,2,3,15,22,37,41,6
2012-10-12,5,7,12,15,35,45,47,40
2012-10-05,1,12,23,27,30,31,37,33
2012-09-28,5,6,32,33,39,42,47,9
2012-09-21,7,8,10,11,19,34,45,44
2012-09-14,2,27,30,31,37,46,47,21
2012-09-07,11,14,18,20,37,41,46,8
2012-08-31,5,12,13,28,33,37,43,44
2012-08-24,2,3,5,22,23,32,33,8
2012-08-17,18,19,22,27,29,36,47,25
2012-08-10,2,15,18,19,22,27,49,40
2012-08-03,1,2,18,26,27,39,42,33
2012-07-27,2,20,25,26,46,47,48,44
2012-07-20,4,7,29,35,39,43,44,46
2012-07-13,3,13,14,23,33,36,45,7
2012-07-06,14,26,31,34,37,45,48,38
2012-06-29,10,14,20,28,35,40,42,44
2012-06-22,1,12,20,22,30,34,38,33
2012-06-15,8,11,20,28,36,43,47,18
2012-06-08,9,10,16,24,26,44,48,27
2012-06-01,4,7,13,24,26,27,43,41
2012-05-25,1,2,3,6,12,20,41,10
2012-05-18,3,4,13,15,21,29,48,26
2012-05-11,1,6,7,24,31,36,39,26
2012-05-04,3,5,6,25,37,43,45,21
2012-04-27,3,23,28,40,42,43,45,17
2012-04-20,14,15,16,19,30,36,46,42
2012-04-13,2,6,11,12,16,39,45,3
2012-04-06,15,18,19,25,32,42,49,43
2012-03-30,3,11,12,19,35,45,47,13
2012-03-23,6,18,21,23,24,32,48,47
2012-03-16,5,7,18,24,28,41,49,26
2012-03-09,7,18,19,29,39,47,48,32
2012-03-02,4,13,14,15,34,46,47,49
2012-02-24,6,17,23,24,25,31,38,7
2012-02-17,1,15,26,28,31,39,49,18
2012-02-10,1,5,25,35,38,44,47,39
2012-02-03,2,8,12,14,33,37,47,46
2012-01-27,8,24,28,34,37,43,45,21
2012-01-20,9,15,21,23,41,43,44,46
2012-01-13,6,15,18,26,41,46,48,27
2012-01-06,1,2,8,13,22,45,46,48
