PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
Dec 31 2020,A,4,6,9,15,19,28,36,43,44,45,46,47,51,52,53,56,58,62,67,69
Dec 30 2020,A,1,2,11,13,16,19,25,27,29,31,32,33,36,38,39,53,55,59,67,69
Dec 29 2020,A,14,15,18,20,21,22,25,26,32,33,39,40,53,55,59,61,62,63,64,65
Dec 28 2020,A,4,8,10,12,13,14,15,23,34,36,37,40,45,48,51,55,57,61,68,69
Dec 27 2020,A,8,9,11,16,25,26,30,34,36,38,46,48,54,55,56,58,59,61,62,67
Dec 26 2020,A,3,4,5,11,14,15,25,26,29,31,32,34,35,45,46,50,57,64,67,69
Dec 25 2020,A,3,4,5,8,10,13,14,15,20,23,24,26,30,36,43,44,48,52,53,67
Dec 24 2020,A,6,8,11,13,19,20,24,30,33,34,37,39,44,45,52,54,58,61,63,67
Dec 23 2020,A,11,18,19,21,22,24,27,28,32,37,40,42,48,50,55,60,61,63,66,67
Dec 22 2020,A,1,6,13,14,16,23,24,29,36,39,43,44,45,47,51,54,57,62,63,67
Dec 21 2020,A,8,11,16,17,22,23,27,35,38,47,48,51,53,57,59,61,63,64,68,70
Dec 20 2020,A,12,13,15,29,31,33,35,38,40,42,43,46,50,53,56,57,58,61,64,68
Dec 19 2020,A,7,9,10,12,13,14,15,18,21,23,30,33,35,40,45,46,55,67,69,70
Dec 18 2020,A,1,8,9,12,17,24,26,28,31,33,34,45,50,53,60,64,67,68,69,70
Dec 17 2020,A,7,18,21,22,23,27,31,32,35,36,39,40,46,54,57,62,63,66,68,70
Dec 16 2020,A,5,10,14,17,18,21,25,36,40,41,42,46,54,55,57,58,60,62,63,69
Dec 15 2020,A,2,8,14,18,19,20,22,25,27,38,40,41,48,52,55,59,61,64,65,66
Dec 14 2020,A,5,8,9,19,26,33,35,40,41,42,46,52,53,57,58,61,62,66,67,70
Dec 13 2020,A,1,2,14,15,16,18,20,22,24,26,27,34,35,39,40,41,46,58,60,70
Dec 12 2020,A,3,5,8,17,18,23,28,35,37,42,44,45,48,49,51,61,63,65,66,68
Dec 11 2020,A,2,3,6,16,18,19,22,23,30,35,36,37,41,45,49,57,58,61,65,69
Dec 10 2020,A,8,10,11,21,24,25,26,27,29,32,35,45,46,47,55,61,62,63,64,69
Dec 09 2020,A,1,2,3,15,18,21,22,30,34,41,42,44,45,49,53,55,59,62,68,69
Dec 08 2020,A,5,16,18,21,25,29,32,38,40,46,51,52,55,58,61,62,65,66,69,70
Dec 07 2020,A,2,4,10,11,12,21,27,28,35,36,37,42,43,44,49,51,65,66,68,69
Dec 06 2020,A,4,6,8,9,13,15,17,20,25,32,34,35,39,44,48,54,58,59,61,68
Dec 05 2020,A,6,7,11,12,13,16,20,24,32,33,37,38,39,40,43,44,56,61,65,69
Dec 04 2020,A,1,2,5,9,10,12,19,22,27,29,34,37,39,40,47,50,51,54,67,68
Dec 03 2020,A,1,2,9,14,17,18,30,36,39,46,51,53,55,56,58,61,63,66,67,68
Dec 02 2020,A,7,13,17,18,23,25,27,32,42,44,45,50,52,53,58,60,63,66,69,70
Dec 01 2020,A,1,5,6,13,18,19,30,36,38,40,41,42,46,49,51,52,54,60,65,68
Nov 30 2020,A,6,11,14,17,24,25,27,28,29,35,36,41,43,50,52,55,56,59,61,68
Nov 29 2020,A,7,9,10,12,15,19,22,31,34,35,41,44,50,52,62,65,66,68,69,70
Nov 28 2020,A,2,6,11,17,25,28,36,41,47,49,50,53,57,59,60,61,62,66,67,69
Nov 27 2020,A,1,3,19,22,31,34,36,37,40,45,46,51,53,57,58,59,60,63,68,70
