PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
2023-12-04,A,7,9,12,14,16,18,20,24,25,30,34,44,45,47,49,51,54,59,64,70
2023-12-03,A,4,6,7,8,10,14,19,29,30,33,40,45,55,56,60,61,63,64,65,66
2023-12-02,A,1,2,4,6,9,15,18,20,21,27,28,29,31,33,44,49,57,61,64,65
2023-12-01,A,2,4,11,13,18,23,25,28,30,32,35,36,38,40,42,43,46,61,62,70
2023-11-30,A,9,10,13,14,17,18,19,32,34,39,40,47,49,52,53,55,62,67,69,70
2023-11-29,A,1,4,5,6,10,15,18,26,31,33,42,45,48,51,55,56,62,65,68,69
2023-11-28,A,2,3,4,9,19,20,22,23,36,39,41,48,54,55,57,58,60,61,63,66
2023-11-27,A,1,10,12,19,21,22,27,35,37,38,39,43,45,46,52,54,55,62,63,70
2023-11-26,A,1,11,14,16,17,20,22,27,29,30,45,47,51,52,55,57,61,62,65,70
2023-11-25,A,3,7,9,10,24,26,32,34,38,42,43,45,47,52,54,56,64,66,67,68
2023-11-24,A,2,5,13,14,19,20,22,33,36,40,43,46,49,51,56,57,58,62,63,69
2023-11-23,A,2,10,11,13,17,19,23,26,27,29,33,35,36,41,42,47,49,59,64,68
2023-11-22,A,4,8,13,14,15,20,21,24,30,36,37,44,47,52,53,54,55,56,58,67
2023-11-21,A,1,7,9,10,11,12,22,32,34,37,40,41,42,50,56,57,60,66,68,70
2023-11-20,A,3,6,8,10,15,19,20,24,25,32,33,34,37,40,43,44,48,49,51,60
2023-11-19,A,2,3,4,11,19,23,24,26,35,36,40,43,44,52,53,55,61,64,68,70
2023-11-18,A,8,10,16,17,19,22,26,29,32,35,41,43,50,54,56,62,63,68,69,70
2023-11-17,A,1,13,17,19,23,27,33,34,42,47,49,50,53,55,58,59,60,61,65,69
2023-11-16,A,7,9,17,19,25,26,30,31,32,36,39,44,45,55,56,61,66,67,68,70
2023-11-15,A,2,3,8,11,12,14,25,33,35,42,46,50,51,56,57,62,63,65,68,70
2023-11-14,A,1,6,8,9,10,11,21,28,35,45,48,50,51,53,57,61,62,65,67,68
2023-11-13,A,6,8,9,10,11,16,17,19,21,24,25,32,36,45,52,56,58,59,61,70
2023-11-12,A,4,5,6,12,27,28,34,35,36,37,38,39,42,43,57,58,59,65,68,69
2023-11-11,A,1,6,7,9,15,21,23,24,34,35,38,46,48,51,56,57,58,59,65,70
2023-11-10,A,1,5,6,7,11,13,14,15,16,26,27,32,34,37,39,41,48,59,63,65
2023-11-09,A,1,7,9,12,17,19,22,23,31,38,40,41,42,43,52,54,55,56,60,64
2023-11-08,A,1,14,21,22,32,40,41,42,43,44,45,47,49,50,58,62,64,66,67,68
2023-11-07,A,4,16,17,22,23,27,32,33,34,37,43,45,46,54,55,60,62,66,67,68
2023-11-06,A,2,3,7,11,12,15,16,21,23,24,25,26,35,45,46,60,61,62,66,68
2023-11-05,A,2,4,12,15,19,23,26,30,32,35,41,44,46,53,58,60,64,65,66,69
2023-11-04,A,4,5,9,13,16,27,35,36,38,40,41,42,43,47,52,53,54,55,56,65
2023-11-03,A,4,10,11,18,19,25,26,27,28,29,35,36,38,40,42,44,45,52,64,70
2023-11-02,A,1,5,8,9,18,20,22,23,24,25,35,38,43,49,51,54,64,66,69,70
2023-11-01,A,6,13,17,22,26,29,33,35,37,41,42,45,46,48,51,55,56,57,64,70
2023-10-31,A,7,9,15,16,25,29,30,31,32,34,36,43,46,47,49,51,54,56,62,66
