PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
2021-12-31,P,1,7,16,17,20,22,23,25,28,30,32,35,40,43,45,50,53,60,66,67
2021-12-30,P,5,7,12,21,22,28,35,37,39,41,42,43,44,45,48,49,51,54,60,61
2021-12-29,P,1,4,9,20,21,23,29,31,33,34,39,41,45,46,49,53,54,59,62,65
2021-12-28,P,1,2,3,4,5,6,9,12,18,33,36,38,39,45,48,59,60,63,66,68
2021-12-27,P,3,5,6,9,15,18,25,29,32,34,37,38,40,46,49,51,56,57,63,67
2021-12-26,P,3,4,6,7,15,16,17,22,31,32,35,42,43,52,53,54,55,60,62,66
2021-12-25,P,1,5,7,8,12,14,15,20,27,29,33,35,37,38,40,42,60,65,66,70
2021-12-24,P,2,7,10,12,14,16,17,21,23,30,31,33,34,35,37,47,54,56,58,63
2021-12-23,P,1,2,5,6,10,12,16,19,24,30,34,35,36,43,45,48,51,52,56,68
2021-12-22,P,1,3,6,8,13,20,24,25,27,28,33,41,42,46,50,52,54,57,59,69
2021-12-21,P,2,3,6,8,11,14,25,27,32,33,37,44,46,47,52,56,57,61,63,69
2021-12-20,P,1,4,5,6,7,13,14,18,21,31,32,33,38,50,51,53,56,58,64,70
2021-12-19,P,1,2,9,12,17,23,24,25,28,31,35,51,53,56,60,61,63,65,66,67
2021-12-18,P,9,10,12,16,18,21,23,28,30,38,39,40,41,42,45,48,50,53,54,60
2021-12-17,P,3,6,8,13,16,19,20,26,35,37,41,45,48,50,54,56,61,66,68,70
2021-12-16,P,1,6,17,26,27,29,30,31,32,34,35,36,44,45,46,53,54,58,60,68
2021-12-15,P,5,7,11,13,16,18,25,27,29,30,36,37,39,43,44,48,55,56,58,61
2021-12-14,P,9,20,21,22,24,32,33,34,36,45,49,50,51,54,55,60,64,66,69,70
2021-12-13,P,2,13,14,16,17,20,22,23,28,32,36,39,40,43,47,53,56,57,59,60
2021-12-12,P,4,8,9,10,22,23,25,31,32,37,39,40,41,42,43,45,55,58,68,69
2021-12-11,P,5,7,12,18,21,23,26,30,31,40,41,43,49,50,58,60,62,63,64,70
2021-12-10,P,9,11,12,14,22,26,28,34,38,39,44,46,48,55,57,58,60,61,68,69
2021-12-09,P,1,6,10,14,20,25,27,29,30,34,35,41,46,51,52,56,58,65,68,70
2021-12-08,P,6,8,15,18,22,26,30,32,34,36,39,40,41,44,51,55,56,59,60,70
2021-12-07,P,3,11,12,16,18,22,23,28,30,36,37,44,45,49,51,52,53,55,59,62
2021-12-06,P,3,9,17,19,20,30,31,32,34,36,38,45,46,48,52,53,55,61,64,69
2021-12-05,P,3,7,8,10,11,12,15,18,29,31,36,44,49,53,55,59,63,66,67,70
2021-12-04,P,2,10,12,17,18,26,30,31,32,37,44,46,51,52,55,56,61,63,67,70
2021-12-03,P,4,5,6,12,14,18,23,24,26,42,44,50,52,53,59,60,63,66,69,70
2021-12-02,P,3,4,8,12,14,27,28,29,32,34,37,42,46,51,52,54,56,60,62,63
2021-12-01,P,6,9,11,13,14,22,23,25,28,30,36,37,39,40,48,50,55,58,60,63
2021-11-30,P,1,3,5,6,10,12,15,19,20,24,29,39,49,50,53,57,59,61,62,67
2021-11-29,P,9,11,15,16,32,33,36,37,40,43,44,47,48,50,56,59,60,61,63,65
2021-11-28,P,7,11,12,15,17,19,34,35,38,39,48,49,50,55,59,64,65,68,69,70
2021-11-27,P,4,6,8,9,10,30,36,37,40,43,45,53,54,55,59,62,64,66,68,69
2021-11-26,P,2,5,9,10,21,22,23,26,27,30,34,42,44,48,49,59,62,67,68,69
2021-11-25,P,1,9,15,16,30,31,36,37,39,42,43,45,48,50,53,57,65,67,69,70
2021-11-24,P,5,7,14,16,25,30,35,36,40,43,44,45,49,51,54,55,56,62,63,68
2021-11-23,P,3,10,12,14,17,18,19,24,27,28,30,38,39,40,46,47,49,57,66,67
2021-11-22,P,4,9,11,23,24,28,32,33,39,41,42,44,48,50,51,55,57,61,62,64
2021-11-21,P,4,8,15,18,20,23,25,28,29,31,41,44,46,47,53,56,58,62,65,70
2021-11-20,P,1,4,7,12,16,21,29,30,32,33,34,37,46,51,56,60,62,65,67,68
2021-11-19,P,2,3,4,6,13,17,20,21,27,32,36,38,43,47,51,57,58,59,61,70
2021-11-18,P,1,6,10,19,21,22,28,32,34,38,39,43,45,46,50,52,53,57,64,69
2021-11-17,P,1,8,14,23,24,27,32,36,38,40,41,46,48,49,51,52,61,64,66,68
2021-11-16,P,3,4,8,15,20,28,32,35,38,40,42,46,52,56,58,63,64,65,67,69
2021-11-15,P,2,3,4,12,13,19,28,29,35,36,39,41,42,44,45,46,51,52,53,61
2021-11-14,P,1,2,6,9,15,16,17,20,23,24,27,30,34,37,57,59,61,63,64,67
