PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
Dec 31 2022,A,1,5,6,12,16,17,21,22,23,32,33,34,42,45,47,57,58,59,63,69
Dec 30 2022,A,3,7,8,9,11,13,18,20,22,24,27,37,39,50,56,60,62,63,68,69
Dec 29 2022,A,4,6,7,12,14,17,21,28,30,35,38,41,42,45,53,59,63,64,68,70
Dec 28 2022,A,9,11,15,21,24,25,36,38,40,44,47,50,51,55,56,57,59,64,65,69
Dec 27 2022,A,4,9,13,17,20,25,27,30,35,36,39,47,52,53,56,58,59,63,69,70
Dec 26 2022,A,1,2,3,12,13,14,17,19,26,34,35,37,42,43,46,51,52,56,62,70
Dec 25 2022,A,5,6,10,11,13,20,21,26,27,34,40,46,47,51,52,53,59,63,64,68
Dec 24 2022,A,8,12,17,18,22,29,31,35,36,40,41,45,46,51,52,55,56,60,66,69
Dec 23 2022,A,6,15,17,18,22,26,28,36,39,41,49,50,51,54,55,56,60,62,66,68
Dec 22 2022,A,4,5,8,9,14,19,20,21,23,30,31,36,37,52,55,57,62,65,66,70
Dec 21 2022,A,7,9,13,17,19,22,26,31,33,35,36,37,44,48,51,53,62,65,67,70
Dec 20 2022,A,6,11,20,21,22,32,39,40,42,44,47,50,51,52,55,57,58,62,65,67
Dec 19 2022,A,2,5,12,15,20,21,26,28,33,38,49,51,52,54,58,61,64,67,69,70
Dec 18 2022,A,3,5,10,14,29,38,40,43,46,48,52,57,58,60,61,63,64,65,66,68
Dec 17 2022,A,2,8,13,18,20,23,24,27,28,38,39,43,46,50,51,55,61,66,67,69
Dec 16 2022,A,2,3,12,19,20,21,23,27,28,33,34,35,43,48,49,50,51,52,55,68
Dec 15 2022,A,4,7,11,13,15,19,29,33,36,37,43,45,49,55,58,60,61,63,65,70
Dec 14 2022,A,2,6,7,9,11,19,24,29,31,34,35,41,42,43,45,46,48,55,56,58
Dec 13 2022,A,1,4,5,8,9,13,18,19,21,27,35,39,40,41,45,47,50,58,62,67
Dec 12 2022,A,3,4,6,11,13,18,20,23,26,32,35,37,40,41,44,48,49,51,55,57
Dec 11 2022,A,1,6,9,11,25,28,29,34,39,40,42,45,52,54,56,60,63,64,66,70
Dec 10 2022,A,7,11,30,31,32,34,37,40,42,44,45,46,51,52,55,56,63,68,69,70
Dec 09 2022,A,8,12,17,21,24,25,28,37,39,42,44,49,53,54,56,58,60,61,65,69
Dec 08 2022,A,5,12,16,21,22,24,25,26,29,31,34,38,39,51,54,58,63,64,67,69
Dec 07 2022,A,1,11,12,13,18,21,22,23,24,26,27,28,32,40,52,54,59,63,65,69
Dec 06 2022,A,2,3,4,8,10,11,22,25,26,27,28,30,31,45,48,53,56,58,63,69
Dec 05 2022,A,2,8,9,12,14,16,18,24,25,27,35,37,38,45,53,54,57,58,60,61
Dec 04 2022,A,5,12,14,18,24,26,30,36,39,41,45,48,49,50,55,56,61,64,66,68
Dec 03 2022,A,1,2,3,5,11,14,17,19,26,29,30,32,39,40,44,48,59,60,66,67
Dec 02 2022,A,5,6,8,11,15,20,22,28,29,31,34,40,41,44,50,53,54,58,65,66
Dec 01 2022,A,1,8,12,13,22,27,29,35,39,40,44,47,50,56,60,62,63,65,66,69
Nov 30 2022,A,5,15,17,19,21,24,25,27,29,31,34,41,43,47,48,54,60,66,67,69
Nov 29 2022,A,8,13,14,15,16,22,27,30,33,35,37,40,42,43,45,46,49,59,60,64
Nov 28 2022,A,5,8,10,12,13,15,18,19,27,31,34,35,37,38,40,42,55,62,63,69
Nov 27 2022,A,3,5,6,7,9,24,25,27,31,32,35,37,39,51,53,56,63,66,67,69
Nov 26 2022,A,2,7,13,15,20,34,38,41,44,46,47,48,49,52,54,55,58,62,63,65
Nov 25 2022,A,6,10,20,22,28,30,36,38,43,45,51,52,53,54,59,62,64,65,66,70
Nov 24 2022,A,1,2,5,7,8,10,14,20,25,32,37,38,43,47,53,56,61,63,64,70
Nov 23 2022,A,7,15,16,17,21,22,25,30,34,35,43,47,48,49,51,54,55,61,64,68
Nov 22 2022,A,2,5,11,12,13,17,18,20,21,25,26,27,28,29,40,44,49,62,64,67
Nov 21 2022,A,4,6,7,8,10,11,12,15,16,18,22,33,35,42,52,53,55,56,62,69
Nov 20 2022,A,5,6,14,17,18,20,21,28,35,39,41,42,48,51,52,57,58,64,65,70
Nov 19 2022,A,3,6,7,10,11,30,32,34,40,46,47,48,50,54,56,57,58,65,67,69
Nov 18 2022,A,4,7,12,16,19,21,23,31,32,33,34,39,43,44,46,47,48,53,64,66
Nov 17 2022,A,1,2,3,6,9,12,14,18,21,22,29,31,36,39,50,58,60,61,65,70
Nov 16 2022,A,1,2,7,10,11,14,20,23,25,32,41,43,44,50,56,57,60,61,62,70
Nov 15 2022,A,5,9,11,12,15,18,25,27,28,32,34,37,40,45,46,47,50,56,58,64
Nov 14 2022,A,2,3,4,7,16,17,20,29,30,36,41,44,47,51,53,57,61,67,68,70
Nov 13 2022,A,4,8,10,11,15,17,18,27,28,32,37,39,44,51,53,54,60,61,63,64
