PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
2020-12-31,P,1,5,6,8,11,13,18,19,22,23,27,29,34,35,36,38,57,59,60,70
2020-12-30,P,5,7,9,10,11,16,21,22,25,31,38,41,52,54,57,60,62,66,67,69
2020-12-29,P,2,3,6,9,23,31,32,39,45,47,49,52,55,56,57,58,59,63,65,66
2020-12-28,P,2,4,7,12,14,15,17,21,25,36,37,47,54,55,56,57,62,65,66,69
2020-12-27,P,2,3,5,6,7,8,11,16,18,25,30,32,37,42,44,49,60,63,66,67
2020-12-26,P,1,3,7,9,11,25,27,28,31,32,34,35,43,44,52,57,61,63,64,66
2020-12-25,P,2,14,16,18,20,22,24,29,31,36,38,43,45,46,49,51,53,58,66,67
2020-12-24,P,6,9,10,17,22,24,32,34,35,36,38,39,40,41,56,58,61,62,64,70
2020-12-23,P,1,3,6,10,12,14,15,16,18,19,26,36,39,40,41,54,58,62,66,67
2020-12-22,P,3,7,15,17,18,19,20,28,30,31,40,41,45,47,50,56,61,66,68,70
2020-12-21,P,4,5,7,10,21,24,32,34,37,42,44,46,49,51,57,59,60,63,65,68
2020-12-20,P,1,2,8,15,17,21,25,28,32,34,35,40,44,46,51,53,54,60,62,63
2020-12-19,P,2,6,13,21,24,26,30,39,45,46,49,50,53,55,58,59,60,61,62,65
2020-12-18,P,1,3,6,7,11,13,14,29,31,32,33,37,38,47,50,54,56,62,64,65
2020-12-17,P,2,8,9,15,19,21,26,27,28,29,32,34,40,45,46,48,49,51,63,68
2020-12-16,P,8,10,11,15,19,20,28,29,34,36,37,40,45,50,52,53,57,58,62,64
2020-12-15,P,1,5,16,22,23,26,30,35,39,41,43,49,53,58,60,61,64,67,68,69
2020-12-14,P,2,5,17,21,23,26,27,30,31,32,34,36,40,46,48,49,52,53,55,61
2020-12-13,P,7,11,12,13,16,21,25,30,31,34,35,36,40,44,45,48,52,56,59,65
2020-12-12,P,6,9,11,15,18,20,23,24,31,34,36,45,47,49,53,60,62,64,69,70
2020-12-11,P,2,5,7,9,12,16,17,21,34,46,48,49,54,57,58,61,62,65,66,68
2020-12-10,P,1,2,6,7,9,12,17,22,24,27,35,37,39,45,49,52,55,58,60,68
2020-12-09,P,5,8,9,19,23,24,25,27,32,33,36,42,48,54,57,59,60,64,68,69
2020-12-08,P,4,5,6,12,19,22,24,25,27,28,30,31,37,39,43,44,45,50,64,65
2020-12-07,P,2,6,8,9,12,13,17,24,25,26,29,32,36,50,62,63,65,66,68,70
2020-12-06,P,1,5,6,11,12,13,16,23,27,28,30,42,43,44,49,50,56,65,67,68
2020-12-05,P,9,12,13,22,23,24,26,34,39,42,44,49,50,51,57,58,59,66,67,70
2020-12-04,P,2,4,9,12,13,16,18,26,33,37,41,45,46,47,48,51,53,55,62,63
2020-12-03,P,5,18,19,20,21,22,28,38,39,41,44,47,50,51,52,57,59,61,63,66
2020-12-02,P,2,7,10,13,14,16,17,25,27,30,31,37,38,53,58,61,64,67,69,70
2020-12-01,P,2,3,11,12,19,32,34,36,38,40,42,46,48,50,53,57,58,61,63,67
2020-11-30,P,3,10,17,18,19,23,24,25,27,28,29,30,41,44,49,55,56,58,59,62
2020-11-29,P,3,8,18,22,26,34,41,42,45,47,48,49,55,56,58,61,62,64,67,70
