PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
Oct 31 2021,A,1,2,3,10,18,20,26,28,30,31,34,36,39,52,53,55,58,61,65,69
Oct 30 2021,A,8,15,20,22,23,24,27,29,30,31,39,41,43,46,57,58,59,60,68,70
Oct 29 2021,A,1,3,5,11,18,26,32,36,39,41,42,43,45,48,49,50,58,61,64,67
Oct 28 2021,A,3,6,7,9,20,22,23,27,31,36,39,43,49,51,57,58,60,62,64,67
Oct 27 2021,A,5,7,8,9,11,14,18,23,25,27,28,29,31,32,36,44,50,54,61,65
Oct 26 2021,A,1,4,15,17,18,19,20,29,35,40,43,44,45,48,52,54,58,60,64,70
Oct 25 2021,A,3,8,12,13,15,17,21,29,31,32,44,49,52,53,56,60,61,64,65,70
Oct 24 2021,A,1,3,6,8,10,17,25,28,30,31,35,38,44,47,48,49,53,54,60,62
Oct 23 2021,A,10,12,13,15,17,19,22,25,30,32,34,39,40,41,46,50,57,61,66,70
Oct 22 2021,A,6,9,16,21,23,26,28,29,32,34,36,39,41,42,58,62,63,66,68,70
Oct 21 2021,A,3,9,14,18,23,25,26,28,30,31,32,33,34,39,41,45,48,51,52,57
Oct 20 2021,A,5,7,8,11,13,18,21,25,27,30,31,33,44,47,53,56,57,59,62,66
Oct 19 2021,A,3,6,10,11,12,14,17,19,22,23,24,29,33,34,37,38,48,51,56,69
Oct 18 2021,A,4,10,11,17,20,27,29,31,37,39,43,45,55,62,64,65,66,67,68,69
Oct 17 2021,A,2,3,7,9,13,15,16,18,30,31,36,39,43,44,45,46,55,56,59,62
Oct 16 2021,A,8,11,14,18,22,26,29,32,34,35,50,56,57,61,63,64,67,68,69,70
Oct 15 2021,A,2,8,14,16,17,19,24,25,27,30,32,35,39,42,49,50,51,53,65,67
Oct 14 2021,A,7,11,19,22,25,26,27,32,34,37,38,40,46,50,53,54,57,59,68,69
Oct 13 2021,A,6,7,8,11,13,20,29,31,35,36,42,43,45,48,54,55,56,62,65,70
Oct 12 2021,A,6,9,11,13,14,21,24,25,26,27,32,34,42,49,52,54,56,59,60,65
Oct 11 2021,A,3,4,6,17,18,19,25,26,28,33,34,35,38,48,51,56,57,59,68,70
Oct 10 2021,A,1,3,4,8,11,12,15,16,17,24,27,40,45,46,55,56,62,64,65,68
Oct 09 2021,A,3,5,7,9,18,20,22,23,25,34,36,37,39,44,52,53,57,58,60,67
Oct 08 2021,A,1,2,3,5,6,7,19,20,21,24,35,41,42,54,55,56,60,62,66,67
Oct 07 2021,A,2,6,10,13,14,20,21,23,25,26,27,28,29,37,45,46,59,62,65,67
Oct 06 2021,A,3,6,7,8,9,12,16,31,34,46,47,49,50,51,55,59,61,63,65,68
Oct 05 2021,A,3,9,18,22,24,27,31,32,36,39,42,44,46,49,55,56,57,59,61,70
Oct 04 2021,A,2,5,10,11,17,18,19,24,29,34,35,41,42,45,47,49,52,55,57,61
Oct 03 2021,A,3,5,7,8,14,16,24,29,31,34,35,36,44,46,49,51,52,57,60,64
Oct 02 2021,A,1,2,6,7,9,17,20,22,24,28,31,36,41,43,45,50,52,54,63,70
Oct 01 2021,A,7,10,14,16,17,20,22,26,28,34,35,37,39,41,43,48,58,59,61,65
Sep 30 2021,A,1,2,3,16,19,22,24,32,33,35,36,37,40,41,45,46,50,65,67,70
Sep 29 2021,A,2,4,5,8,9,11,13,21,25,26,40,42,46,50,51,52,56,65,67,70
Sep 28 2021,A,3,8,10,18,22,25,30,31,32,39,40,41,42,46,47,48,50,57,58,67
Sep 27 2021,A,1,3,4,5,6,10,21,29,32,35,36,39,46,54,61,63,64,65,67,69
Sep 26 2021,A,3,4,5,10,11,21,24,26,30,33,43,45,47,49,53,59,63,64,66,69
Sep 25 2021,A,4,8,9,14,19,21,22,40,43,44,45,48,56,57,61,63,65,66,68,70
Sep 24 2021,A,1,4,7,11,12,14,17,21,24,27,29,30,36,38,39,44,53,56,64,67
Sep 23 2021,A,2,3,6,10,11,13,18,19,20,36,39,46,48,52,53,54,56,64,65,67
Sep 22 2021,A,15,17,19,20,28,29,30,34,40,41,42,43,47,52,60,61,64,65,66,67
Sep 21 2021,A,5,8,11,13,19,20,26,27,30,38,41,42,45,46,56,58,62,63,67,70
Sep 20 2021,A,2,7,8,11,14,17,23,24,26,27,30,31,42,52,54,60,63,64,67,69
Sep 19 2021,A,3,4,5,8,17,20,23,26,31,32,33,35,42,43,46,47,52,58,59,65
Sep 18 2021,A,1,2,4,6,9,10,21,22,28,34,36,41,49,50,52,54,60,61,63,66
Sep 17 2021,A,1,6,7,9,10,13,14,16,18,21,26,33,44,46,47,52,58,59,60,69
Sep 16 2021,A,6,10,13,14,18,20,25,29,34,36,43,47,55,56,57,60,61,62,63,66
