PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
Dec 31 2022,P,2,3,4,5,6,8,9,20,23,27,28,32,37,45,51,52,54,56,65,66
Dec 30 2022,P,3,4,8,9,16,18,19,20,24,28,29,31,32,34,35,37,39,43,44,66
Dec 29 2022,P,1,3,4,6,12,13,15,22,23,25,33,35,40,41,44,49,51,55,56,61
Dec 28 2022,P,1,2,7,8,17,28,33,34,36,38,41,42,44,45,46,47,48,57,60,69
Dec 27 2022,P,4,7,9,13,22,24,25,27,29,32,35,43,46,50,51,54,56,58,63,64
Dec 26 2022,P,4,8,9,11,15,20,21,22,25,26,30,34,44,47,53,54,57,59,61,68
Dec 25 2022,P,5,8,12,15,16,17,24,31,35,38,43,45,49,51,54,56,57,61,66,68
Dec 24 2022,P,3,12,16,19,24,27,30,32,35,41,42,47,48,51,52,53,59,62,68,70
Dec 23 2022,P,1,5,7,10,12,22,24,25,27,31,37,44,47,48,49,57,59,67,69,70
Dec 22 2022,P,1,2,7,13,17,24,27,31,36,45,47,49,56,59,62,64,65,66,67,69
Dec 21 2022,P,1,5,9,15,18,22,24,27,28,29,36,38,51,53,55,56,57,58,62,63
Dec 20 2022,P,2,6,10,12,14,21,26,28,32,36,38,41,42,45,48,50,59,62,65,66
Dec 19 2022,P,1,3,4,7,19,24,25,32,34,35,38,39,49,55,58,60,62,63,65,67
Dec 18 2022,P,2,8,12,13,21,22,24,27,31,32,36,39,43,53,60,64,66,67,68,70
Dec 17 2022,P,5,7,14,20,23,26,28,30,33,38,43,45,48,53,54,56,58,60,64,70
Dec 16 2022,P,1,6,8,10,18,19,21,26,34,35,39,40,41,46,47,51,52,66,67,68
Dec 15 2022,P,4,6,7,9,10,12,17,18,20,23,25,29,30,33,36,43,45,47,48,63
Dec 14 2022,P,2,4,5,6,7,13,14,24,31,36,37,40,47,49,50,51,52,55,64,69
Dec 13 2022,P,3,5,8,13,15,22,25,28,31,33,41,42,44,46,47,50,51,60,64,70
Dec 12 2022,P,2,3,8,11,15,20,23,26,27,36,41,44,46,48,50,52,55,60,63,69
Dec 11 2022,P,1,3,7,10,16,19,20,21,32,34,36,37,47,50,51,62,64,65,67,68
Dec 10 2022,P,1,4,7,12,16,19,30,33,35,38,41,43,44,45,48,54,56,61,63,67
Dec 09 2022,P,2,5,12,19,21,22,25,27,32,34,36,40,41,46,47,50,53,56,57,61
Dec 08 2022,P,2,4,7,21,26,27,30,32,33,34,36,38,40,47,50,54,56,62,65,66
Dec 07 2022,P,1,4,8,13,16,19,21,23,24,27,28,31,34,37,42,45,48,49,52,61
Dec 06 2022,P,1,5,6,7,9,16,17,19,22,23,25,30,32,33,37,38,40,57,61,70
Dec 05 2022,P,5,18,26,30,31,33,38,44,45,46,50,53,56,57,58,59,61,62,63,69
Dec 04 2022,P,15,16,18,25,27,33,34,41,43,44,46,48,52,53,56,61,63,65,66,67
Dec 03 2022,P,1,3,4,18,31,34,35,36,39,43,44,48,49,52,53,54,57,59,68,69
Dec 02 2022,P,6,7,13,15,16,18,21,32,35,37,38,41,44,47,53,59,62,64,68,69
Dec 01 2022,P,1,4,7,9,14,15,16,19,23,26,35,38,39,42,45,49,51,64,67,70
Nov 30 2022,P,1,2,3,6,8,9,12,17,27,28,30,40,42,47,55,56,60,63,67,69
Nov 29 2022,P,1,6,9,11,24,26,34,35,38,39,40,42,45,46,50,51,58,66,67,70
Nov 28 2022,P,6,9,12,16,23,34,36,37,39,43,44,45,48,50,52,56,63,66,68,70
Nov 27 2022,P,2,3,5,6,7,8,16,22,23,24,31,33,41,44,47,55,56,60,61,67
Nov 26 2022,P,2,4,11,13,24,25,29,30,34,41,49,50,51,58,60,61,64,67,68,69
Nov 25 2022,P,1,5,6,8,14,24,25,31,34,35,40,42,45,46,54,56,60,61,62,70
Nov 24 2022,P,4,5,9,16,17,18,19,26,28,29,30,32,36,40,47,50,52,53,58,63
Nov 23 2022,P,2,3,6,10,11,13,15,25,27,28,31,32,35,39,43,44,46,60,68,69
Nov 22 2022,P,1,5,8,11,25,29,35,40,43,46,49,57,59,60,62,63,64,65,66,67
Nov 21 2022,P,8,12,14,16,17,18,19,20,22,23,29,35,41,45,47,50,53,56,62,70
Nov 20 2022,P,5,13,15,18,22,24,28,37,43,45,47,48,49,51,52,53,61,65,66,70
Nov 19 2022,P,3,6,9,16,19,20,27,28,35,41,43,49,52,53,54,56,57,60,63,66
