PlayDate,N01,N02,N03,N04,N05,N06
2022-12-29,1,11,20,31,43,3
2022-12-26,4,7,16,30,43,5
2022-12-22,12,20,28,41,44,2
2022-12-19,9,26,28,29,48,2
2022-12-15,10,24,33,43,44,7
2022-12-12,2,3,20,26,28,2
2022-12-08,17,32,33,41,45,4
2022-12-05,9,39,40,41,45,1
2022-12-01,1,26,27,38,46,7
2022-11-28,6,8,10,32,33,2
2022-11-24,25,32,42,43,46,4
2022-11-21,5,7,12,32,49,6
2022-11-17,13,22,31,37,45,2
2022-11-14,2,3,5,12,27,3
2022-11-10,2,15,20,31,49,3
2022-11-07,3,15,27,41,47,5
2022-11-03,15,18,28,33,45,7
2022-10-31,15,33,36,41,48,1
2022-10-27,7,8,23,41,45,4
2022-10-24,16,23,34,36,45,2
2022-10-20,14,19,20,37,40,6
2022-10-17,18,31,34,36,42,1
2022-10-13,5,11,20,22,37,4
2022-10-10,5,11,15,21,43,6
2022-10-06,14,19,30,38,48,4
2022-10-03,17,20,23,28,45,6
2022-09-29,4,5,20,26,48,1
2022-09-26,7,18,26,33,39,6
2022-09-22,3,22,26,40,45,4
2022-09-19,4,7,8,11,13,4
2022-09-15,3,11,23,33,48,4
2022-09-12,1,11,37,41,46,2
2022-09-08,8,22,28,42,43,4
2022-09-05,2,4,13,15,45,2
2022-09-01,14,15,34,41,44,4
2022-08-29,7,11,32,37,41,5
2022-08-25,3,8,14,24,33,7
2022-08-22,5,12,14,44,49,1
2022-08-18,6,11,18,22,34,2
2022-08-15,15,26,38,40,45,4
2022-08-11,28,37,43,45,47,7
2022-08-08,1,22,29,34,47,5
2022-08-04,8,22,27,36,43,6
2022-08-01,16,20,27,36,42,2
2022-07-28,1,3,18,23,33,4
2022-07-25,1,7,31,41,46,7
2022-07-21,13,18,28,30,41,2
2022-07-18,5,6,12,33,48,3
2022-07-14,3,12,14,16,45,4
2022-07-11,1,5,18,34,49,2
2022-07-07,15,23,24,36,46,4
2022-07-04,18,30,32,34,44,4
2022-06-30,10,31,35,45,46,7
2022-06-27,3,4,5,19,25,7
2022-06-23,16,17,18,32,44,5
2022-06-20,7,8,18,21,32,1
2022-06-16,1,15,23,36,44,7
2022-06-13,3,9,18,43,46,5
2022-06-09,1,13,15,43,48,2
2022-06-06,24,31,32,44,47,6
2022-06-02,4,26,37,40,44,4
2022-05-30,11,14,27,36,44,5
2022-05-26,13,14,28,34,48,6
2022-05-23,7,12,27,28,33,1
2022-05-19,13,14,30,31,34,6
2022-05-16,7,32,34,40,44,2
2022-05-12,2,3,12,25,32,6
2022-05-09,14,29,40,45,47,1
2022-05-05,6,23,25,38,41,1
2022-05-02,1,8,17,26,38,1
2022-04-28,11,17,20,39,40,3
2022-04-25,11,25,29,30,40,6
2022-04-21,2,6,16,42,44,4
2022-04-18,1,13,15,28,37,2
2022-04-14,12,23,26,30,32,4
2022-04-11,32,34,40,42,43,2
2022-04-07,17,27,32,36,38,2
2022-04-04,1,8,11,22,27,3
2022-03-31,2,6,23,45,48,7
2022-03-28,7,11,13,16,40,5
2022-03-24,9,14,29,34,37,2
2022-03-21,8,17,18,26,29,7
2022-03-17,6,10,12,35,42,6
2022-03-14,3,9,13,17,45,4
2022-03-10,5,26,27,43,47,5
2022-03-07,8,11,32,34,43,7
2022-03-03,1,24,29,37,43,2
2022-02-28,8,13,24,32,46,6
2022-02-24,16,29,31,34,35,5
2022-02-21,2,18,33,35,39,7
2022-02-17,8,10,30,40,44,3
2022-02-14,2,7,17,45,49,2
2022-02-10,1,2,18,38,49,1
2022-02-07,6,23,25,44,46,2
2022-02-03,15,19,24,30,43,4
2022-01-31,4,13,17,32,47,4
2022-01-27,2,29,34,46,47,2
2022-01-24,12,13,23,28,45,6
2022-01-20,4,16,40,43,49,3
2022-01-17,6,16,42,45,46,6
2022-01-13,7,21,25,33,48,7
2022-01-10,10,28,35,40,43,5
2022-01-06,31,39,41,44,49,1
2022-01-03,6,8,15,29,41,6
