PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
Oct 30 2020,M,11,15,16,20,21,22,23,24,25,26,27,28,36,39,43,44,46,51,61,68
Oct 29 2020,M,7,8,10,12,13,14,19,21,22,23,27,28,33,38,46,48,51,59,64,70
Oct 28 2020,M,4,5,12,16,18,23,26,27,29,31,35,36,42,43,45,47,58,60,65,69
Oct 27 2020,M,3,5,9,10,12,18,19,20,23,26,30,32,42,44,46,51,54,60,62,70
Oct 26 2020,M,1,2,3,7,8,10,12,29,30,31,33,35,39,44,48,52,54,59,64,67
Oct 25 2020,M,4,8,10,13,20,24,26,32,33,35,36,38,48,49,55,57,62,63,66,69
Oct 24 2020,M,3,4,5,6,12,15,16,17,22,29,30,32,35,45,48,53,54,57,58,66
Oct 23 2020,M,3,9,11,18,21,22,29,35,37,39,46,47,48,49,53,55,60,64,66,69
Oct 22 2020,M,1,15,21,23,24,26,28,31,33,35,37,41,48,51,52,53,60,61,68,69
Oct 21 2020,M,1,2,5,8,11,13,26,27,30,39,40,44,46,47,50,52,55,56,60,62
Oct 20 2020,M,1,2,4,14,19,25,30,31,32,35,36,37,40,42,47,51,52,54,61,70
Oct 19 2020,M,2,6,8,10,12,16,20,22,23,26,27,28,34,43,44,49,50,57,63,67
Oct 18 2020,M,1,6,11,18,20,25,26,27,30,31,34,37,39,41,44,60,63,66,69,70
Oct 17 2020,M,11,14,19,20,23,27,28,34,35,38,41,42,51,54,57,58,61,63,65,66
Oct 16 2020,M,2,12,14,15,16,26,27,28,29,31,38,40,44,45,46,53,54,55,60,62
Oct 15 2020,M,2,5,7,17,18,21,37,38,39,41,45,47,49,57,59,62,65,66,67,70
Oct 14 2020,M,3,7,10,12,17,18,19,21,29,31,32,33,34,36,41,51,59,62,64,68
Oct 13 2020,M,10,13,14,16,17,21,23,27,29,30,32,49,53,55,57,58,62,67,68,69
Oct 12 2020,M,4,5,6,9,14,16,17,18,19,20,22,33,34,35,38,52,56,61,63,66
Oct 11 2020,M,2,4,7,9,18,23,25,28,29,30,34,37,47,48,51,53,54,56,60,66
Oct 10 2020,M,1,2,4,6,7,9,14,16,26,33,36,39,45,49,51,52,56,59,64,69
Oct 09 2020,M,3,5,7,9,12,18,22,23,25,31,38,43,44,45,46,50,53,54,61,64
Oct 08 2020,M,2,3,11,13,22,28,30,33,34,35,40,51,52,53,58,61,63,65,66,69
Sep 30 2020,M,5,13,14,17,20,21,25,29,34,37,38,44,45,47,48,50,57,63,64,69
Sep 29 2020,M,2,4,6,9,12,18,22,24,25,30,33,38,44,46,51,52,54,55,66,68
Sep 28 2020,M,1,4,13,18,21,22,23,24,28,31,40,44,46,47,52,53,61,67,69,70
Sep 27 2020,M,2,3,9,16,18,19,20,21,22,31,36,44,46,51,53,56,58,61,62,64
Sep 26 2020,M,4,8,9,13,22,26,28,29,33,41,43,46,47,50,52,57,60,67,68,69
Sep 25 2020,M,1,2,3,7,9,10,12,17,21,23,34,37,39,44,51,52,53,66,68,70
Sep 24 2020,M,7,13,16,19,25,28,29,30,34,37,39,40,44,46,49,52,57,61,66,68
Sep 23 2020,M,2,5,7,18,21,23,27,28,29,36,39,41,42,45,51,56,58,68,69,70
