PlayDate,N01,N02,N03,N04,N05,N06,N07
2012-01-07,2,6,12,17,20,38,4
2012-01-14,3,12,13,15,31,45,7
2012-01-21,7,13,22,32,37,41,26
2012-01-28,11,12,21,26,31,39,8
2012-02-04,2,14,15,32,33,36,6
2012-02-11,9,20,22,25,27,34,21
2012-02-18,3,9,18,27,31,38,12
2012-02-25,2,19,21,22,42,43,45
2012-03-03,2,3,11,17,20,26,43
2012-03-10,2,7,9,26,27,44,14
2012-03-17,14,19,26,27,29,43,41
2012-03-24,1,17,18,31,39,42,9
2012-03-31,1,18,25,36,38,45,15
2012-04-07,18,22,24,28,29,44,42
2012-04-14,6,7,15,30,36,44,11
2012-04-21,7,14,23,34,38,44,32
2012-04-28,10,18,28,31,36,44,13
2012-05-05,2,4,13,16,19,20,12
2012-05-12,2,7,10,11,38,41,20
2012-05-19,4,7,15,18,32,45,12
2012-05-26,22,23,25,31,32,41,16
2012-06-02,9,10,14,32,38,42,16
2012-06-09,7,10,25,28,33,42,12
2012-06-16,1,2,14,17,20,32,34
2012-06-23,5,14,15,34,39,40,19
2012-06-30,11,12,16,21,36,43,40
2012-07-07,7,11,19,26,40,44,13
2012-07-14,5,13,17,18,20,36,30
2012-07-21,6,25,36,38,43,45,19
2012-07-28,4,7,11,22,32,39,43
2012-08-04,7,23,33,34,35,42,24
2012-08-11,5,17,25,26,33,45,34
2012-08-18,8,11,18,20,23,33,29
2012-08-25,10,15,19,26,40,45,34
2012-09-01,1,15,20,38,39,41,44
2012-09-08,21,24,25,26,31,32,27
2012-09-15,1,3,4,11,23,26,20
2012-09-22,2,4,20,25,26,38,17
2012-09-29,16,19,25,27,31,36,7
2012-10-06,6,13,24,29,30,43,1
2012-10-13,1,8,21,22,24,44,45
2012-10-20,2,30,36,37,42,45,33
2012-10-27,3,4,24,28,31,33,23
2012-11-03,1,10,14,21,38,45,17
2012-11-10,12,15,19,29,30,44,42
2012-11-17,1,11,12,16,22,29,7
2012-11-24,7,11,26,29,34,40,45
2012-12-01,5,7,25,31,33,37,27
2012-12-08,16,19,33,34,42,45,6
2012-12-15,19,24,29,32,44,45,1
2012-12-22,1,4,25,31,37,45,24
2012-12-29,1,3,9,16,26,37,25
