PlayDate,N01,N02,N03,N04,N05,N06,N07
2021-12-25,1,3,6,8,27,41,26
2021-12-18,6,7,13,27,35,37,43
2021-12-11,12,23,26,29,39,44,7
2021-12-04,11,18,27,28,34,37,32
2021-11-27,19,25,30,32,38,42,4
2021-11-20,12,19,22,32,33,38,30
2021-11-13,1,5,6,12,21,39,7
2021-11-06,12,16,18,37,39,41,38
2021-10-30,1,16,34,36,41,44,8
2021-10-23,2,3,4,12,32,44,39
2021-10-16,1,20,26,32,39,40,2
2021-10-09,3,6,25,26,30,39,43
2021-10-02,1,4,22,36,37,41,26
2021-09-25,10,11,18,31,33,42,45
2021-09-18,4,5,9,15,41,44,16
2021-09-11,15,16,23,32,35,38,13
2021-09-04,4,13,30,37,39,43,29
2021-08-28,10,15,34,37,39,45,42
2021-08-21,1,5,21,25,28,44,32
2021-08-14,15,20,24,26,27,30,39
2021-08-07,20,26,29,30,35,36,40
2021-07-31,2,4,10,25,32,43,15
2021-07-24,7,14,21,30,43,45,40
2021-07-17,3,5,7,15,28,35,18
2021-07-10,6,14,20,32,37,38,5
2021-07-03,9,13,30,40,41,44,32
2021-06-26,14,20,21,38,39,41,23
2021-06-19,6,14,18,29,35,38,25
2021-06-12,1,7,13,16,22,44,36
2021-06-05,7,15,21,29,32,34,10
2021-05-29,3,25,28,30,40,41,21
2021-05-22,4,14,15,19,29,41,1
2021-05-15,2,21,31,35,40,42,43
2021-05-08,1,6,8,19,22,28,42
2021-05-01,6,27,36,37,42,44,30
2021-04-24,13,14,24,30,34,36,40
2021-04-17,21,23,25,29,32,35,28
2021-04-10,4,8,34,37,41,45,31
2021-04-03,3,17,21,34,36,45,39
2021-03-27,12,13,34,35,42,44,3
2021-03-20,10,17,20,23,26,27,37
2021-03-13,11,27,30,35,39,41,1
2021-03-06,10,16,25,29,33,41,7
2021-02-27,8,12,14,18,28,41,5
2021-02-20,5,16,21,23,28,42,38
2021-02-13,11,27,37,38,39,43,33
2021-02-06,1,10,37,41,43,44,20
2021-01-30,1,19,23,28,37,45,25
2021-01-23,6,12,36,39,43,44,23
2021-01-16,10,20,27,29,39,41,3
2021-01-09,5,7,27,30,33,44,3
2021-01-02,7,10,19,27,31,38,43
