PlayDate,N01,N02,N03,N04,N05,N06,N07
2022-12-31,2,5,15,17,22,27,3
2022-12-24,5,8,19,26,30,42,44
2022-12-17,15,20,34,37,40,44,25
2022-12-10,6,22,27,35,36,44,9
2022-12-03,3,4,8,18,26,37,11
2022-11-26,10,11,12,19,24,26,36
2022-11-19,3,27,35,39,42,44,6
2022-11-12,1,6,18,31,34,40,35
2022-11-05,4,27,32,41,43,44,9
2022-10-29,19,21,23,26,29,39,17
2022-10-22,1,16,19,40,42,44,33
2022-10-15,6,14,18,32,36,38,30
2022-10-08,14,16,22,31,40,41,3
2022-10-01,5,25,29,34,35,45,42
2022-09-24,1,18,24,25,28,39,37
2022-09-17,8,9,16,17,24,29,6
2022-09-10,2,9,21,31,34,36,10
2022-09-03,4,21,27,35,39,44,37
2022-08-27,3,10,11,32,37,45,2
2022-08-20,13,22,27,31,32,43,7
2022-08-13,9,19,26,40,42,45,12
2022-08-06,3,14,20,30,35,41,7
2022-07-30,2,3,7,15,16,28,45
2022-07-23,1,10,11,19,29,35,17
2022-07-16,11,25,35,37,40,42,44
2022-07-09,10,17,31,32,33,42,25
2022-07-02,5,9,18,19,36,38,11
2022-06-25,3,6,18,20,28,29,15
2022-06-18,1,5,10,20,36,42,37
2022-06-11,1,3,27,34,35,37,6
2022-06-04,6,8,10,24,27,34,33
2022-05-28,7,24,30,35,41,42,18
2022-05-21,4,9,13,24,29,43,25
2022-05-14,5,6,7,28,39,45,4
2022-05-07,9,23,31,36,38,43,24
2022-04-30,1,25,26,29,33,43,18
2022-04-23,1,7,8,12,29,39,27
2022-04-16,18,23,24,28,32,38,17
2022-04-09,3,6,9,17,27,34,20
2022-04-02,5,16,27,31,34,45,17
2022-03-26,3,4,28,42,43,44,19
2022-03-19,4,5,14,27,32,42,22
2022-03-12,12,28,35,37,40,41,44
2022-03-05,6,26,35,39,42,43,36
2022-02-26,3,14,24,25,33,35,9
2022-02-19,3,12,13,16,20,45,26
2022-02-12,6,10,13,26,32,43,5
2022-02-05,3,8,23,36,41,43,24
2022-01-29,1,3,6,15,26,36,44
2022-01-22,9,15,17,20,30,45,36
2022-01-15,16,22,23,33,38,43,44
2022-01-08,1,13,15,20,30,42,21
2022-01-01,3,8,24,27,29,41,38
