PlayDate,N01,N02,N03,N04,N05,N06,N07
2013-01-05,5,8,18,26,37,44,3
2013-01-12,3,10,23,24,35,45,4
2013-01-19,12,15,20,23,32,43,3
2013-01-26,2,15,18,29,39,41,8
2013-02-02,15,22,23,24,29,33,35
2013-02-09,8,19,22,31,40,41,4
2013-02-16,3,4,7,8,12,25,28
2013-02-23,21,23,25,35,37,41,32
2013-03-02,24,31,32,39,43,45,25
2013-03-09,10,20,33,38,39,45,41
2013-03-16,1,7,22,28,31,39,5
2013-03-23,6,15,18,19,20,22,23
2013-03-30,7,21,32,34,35,42,30
2013-04-06,4,9,24,41,42,43,33
2013-04-13,13,28,30,31,33,44,34
2013-04-20,7,31,33,35,36,45,34
2013-04-27,4,8,17,21,23,37,10
2013-05-04,1,8,9,20,35,41,27
2013-05-11,5,8,10,17,34,36,37
2013-05-18,8,11,14,16,21,26,3
2013-05-25,3,27,29,37,38,43,41
2013-06-01,11,16,27,35,36,38,26
2013-06-08,1,12,13,34,38,44,7
2013-06-15,1,10,27,32,33,36,39
2013-06-22,12,17,21,37,43,45,29
2013-06-29,1,15,32,40,43,45,26
2013-07-06,4,6,20,27,29,39,36
2013-07-13,6,10,15,24,30,42,45
2013-07-20,6,25,32,34,38,39,45
2013-07-27,7,10,13,18,32,44,25
2013-08-03,14,26,42,43,44,45,16
2013-08-10,4,11,14,22,28,32,2
2013-08-17,1,5,9,34,42,45,33
2013-08-24,4,13,15,37,41,43,22
2013-08-31,4,13,19,24,28,40,8
2013-09-07,8,24,28,37,43,44,19
2013-09-14,12,16,21,39,40,43,29
2013-09-21,18,24,26,30,31,45,15
2013-09-28,6,10,12,29,37,40,41
2013-10-05,19,26,30,32,36,41,24
2013-10-12,5,11,16,31,33,39,43
2013-10-19,3,6,15,26,27,43,16
2013-10-26,1,22,23,36,37,45,2
2013-11-02,13,20,23,31,34,40,14
2013-11-09,2,7,26,28,29,31,17
2013-11-16,3,9,20,24,39,45,7
2013-11-23,8,11,19,20,24,29,5
2013-11-30,13,30,32,35,40,45,14
2013-12-07,9,10,24,31,37,43,22
2013-12-14,4,7,28,29,35,44,36
2013-12-21,8,20,22,26,32,41,1
2013-12-28,1,5,9,13,18,24,28
