PlayDate,N01,N02,N03,N04,N05,N06,N07
2019-01-05,1,2,3,25,28,44,26
2019-01-12,9,11,14,20,30,43,37
2019-01-19,3,13,31,33,35,41,9
2019-01-26,2,5,27,29,34,35,23
2019-02-02,3,11,15,17,23,37,42
2019-02-09,4,13,29,35,36,39,28
2019-02-16,2,13,16,22,31,33,10
2019-02-23,5,20,26,33,41,42,15
2019-03-02,9,15,27,29,32,35,40
2019-03-09,1,2,4,6,34,44,40
2019-03-16,10,11,16,29,30,36,3
2019-03-23,2,12,20,32,38,42,3
2019-03-30,7,8,14,27,37,42,26
2019-04-06,9,15,24,30,33,34,45
2019-04-13,14,21,38,39,44,45,15
2019-04-20,3,12,16,22,23,41,4
2019-04-27,15,31,37,38,41,44,39
2019-05-04,4,8,21,36,44,45,5
2019-05-11,11,13,18,25,34,42,19
2019-05-18,1,2,9,11,12,42,5
2019-05-25,3,7,11,21,29,34,26
2019-06-01,7,8,28,37,39,44,17
2019-06-08,1,5,15,36,38,40,41
2019-06-15,1,5,20,28,31,36,17
2019-06-22,1,12,18,20,24,44,41
2019-06-29,1,10,12,15,19,28,30
2019-07-06,1,15,20,29,42,45,31
2019-07-13,6,12,16,28,39,45,44
2019-07-20,4,5,16,26,32,41,2
2019-07-27,13,15,21,24,42,43,28
2019-08-03,8,13,17,33,34,40,7
2019-08-10,3,11,24,28,34,35,25
2019-08-17,8,19,27,29,33,36,35
2019-08-24,10,24,26,33,43,45,1
2019-08-31,4,11,20,31,39,40,35
2019-09-07,3,13,15,18,23,34,41
2019-09-14,4,11,14,15,30,36,34
2019-09-21,11,21,29,39,40,41,1
2019-09-28,9,16,27,32,41,43,1
2019-10-05,2,3,5,14,22,33,41
2019-10-12,11,18,23,38,40,42,25
2019-10-19,5,17,34,37,39,44,9
2019-10-26,2,8,9,11,17,19,44
2019-11-02,2,9,17,18,28,29,38
2019-11-09,3,14,23,27,38,39,26
2019-11-16,2,18,22,28,29,40,42
2019-11-23,8,9,17,36,38,43,1
2019-11-30,3,31,35,38,41,45,7
2019-12-07,10,16,26,28,31,41,12
2019-12-14,7,16,33,34,36,42,22
2019-12-21,6,13,25,37,42,43,9
2019-12-28,3,4,6,10,36,44,32
