PlayDate,N01,N02,N03,N04,N05,N06,N07
2017-01-07,6,14,15,26,31,37,45
2017-01-14,3,9,26,30,32,45,22
2017-01-21,9,14,20,34,36,45,33
2017-01-28,8,12,13,31,40,41,26
2017-02-04,10,15,24,30,44,45,6
2017-02-11,9,10,11,15,19,34,14
2017-02-18,1,2,3,6,20,31,13
2017-02-25,1,19,24,30,33,34,8
2017-03-04,3,6,13,17,31,39,19
2017-03-11,10,20,27,37,39,41,23
2017-03-18,10,17,21,23,29,42,11
2017-03-25,11,24,27,36,37,39,44
2017-04-01,3,17,28,37,42,44,21
2017-04-08,12,16,18,29,32,43,17
2017-04-15,3,4,29,34,35,43,25
2017-04-22,1,5,18,21,31,34,26
2017-04-29,17,19,27,32,35,39,38
2017-05-06,7,8,11,15,22,24,10
2017-05-13,8,22,27,38,39,42,5
2017-05-20,11,14,16,20,25,38,6
2017-05-27,4,5,9,19,30,42,40
2017-06-03,5,11,15,19,29,33,22
2017-06-10,5,16,29,30,40,43,7
2017-06-17,5,10,24,27,30,43,19
2017-06-24,5,23,26,29,39,43,28
2017-07-01,1,14,24,34,35,41,21
2017-07-08,6,13,16,29,31,33,18
2017-07-15,2,4,23,28,39,45,44
2017-07-22,1,3,20,26,37,39,35
2017-07-29,8,28,31,33,34,39,3
2017-08-05,11,20,31,32,33,36,12
2017-08-12,2,14,20,33,34,36,30
2017-08-19,7,11,20,38,43,44,45
2017-08-26,1,7,15,21,31,38,34
2017-09-02,1,3,19,22,31,34,21
2017-09-09,5,24,32,35,36,43,19
2017-09-16,2,3,5,9,29,31,34
2017-09-23,8,27,34,35,42,43,29
2017-09-30,20,27,28,32,40,44,19
2017-10-07,3,8,9,19,28,33,24
2017-10-14,3,22,33,35,40,44,7
2017-10-21,15,23,25,39,41,45,11
2017-10-28,13,25,31,38,43,45,26
2017-11-04,14,19,23,32,33,43,36
2017-11-11,8,16,19,21,24,38,25
2017-11-18,1,12,16,25,28,38,6
2017-11-25,4,15,16,17,33,43,29
2017-12-02,11,27,38,39,41,45,5
2017-12-09,18,20,24,26,29,36,6
2017-12-16,6,17,21,25,35,42,1
2017-12-23,5,6,16,21,30,36,22
2017-12-30,1,3,26,31,37,44,18
