PlayDate,N01,N02,N03,N04,N05,N06,N07
2015-12-26,1,10,22,24,25,26,42
2015-12-19,1,2,20,28,33,35,38
2015-12-12,5,8,16,24,31,42,45
2015-12-05,1,4,17,29,41,45,23
2015-11-28,6,22,26,27,35,42,44
2015-11-21,1,5,6,7,10,20,4
2015-11-14,2,15,16,24,39,42,26
2015-11-07,8,15,26,28,36,45,18
2015-10-31,1,10,14,21,22,41,25
2015-10-24,1,7,14,21,41,43,6
2015-10-17,2,4,8,13,20,24,5
2015-10-10,5,13,19,24,28,37,20
2015-10-03,3,5,10,34,37,44,25
2015-09-26,8,11,16,19,20,43,7
2015-09-19,4,7,24,34,39,41,3
2015-09-12,5,9,21,23,35,38,17
2015-09-05,8,18,23,29,31,39,34
2015-08-29,1,15,20,21,22,43,35
2015-08-22,3,8,14,22,33,42,15
2015-08-15,4,8,13,14,21,33,23
2015-08-08,1,17,19,24,36,41,18
2015-08-01,16,18,24,33,40,45,37
2015-07-25,5,16,19,34,39,40,12
2015-07-18,5,9,22,34,38,43,12
2015-07-11,2,7,16,27,32,35,38
2015-07-04,6,8,12,28,35,45,37
2015-06-27,7,10,15,29,36,45,43
2015-06-20,13,15,19,26,32,37,39
2015-06-13,5,20,21,22,24,35,32
2015-06-06,8,12,18,24,32,39,40
2015-05-30,21,27,28,34,42,43,45
2015-05-23,1,2,17,32,41,45,13
2015-05-16,5,7,11,26,36,38,9
2015-05-09,8,14,19,29,34,40,7
2015-05-02,15,16,22,31,35,39,6
2015-04-25,13,21,22,24,32,33,42
2015-04-18,1,10,23,28,32,41,27
2015-04-11,12,16,23,33,41,43,17
2015-04-04,5,7,16,17,23,32,1
2015-03-28,1,3,4,13,14,37,9
2015-03-21,2,26,29,32,36,45,10
2015-03-14,1,17,24,26,28,44,7
2015-03-07,5,10,17,22,37,44,16
2015-02-28,3,8,11,17,22,40,35
2015-02-21,1,7,12,31,34,45,4
2015-02-14,7,13,30,34,35,41,31
2015-02-07,15,21,22,24,34,42,36
2015-01-31,4,11,20,37,39,45,26
2015-01-24,11,17,20,31,32,38,29
2015-01-17,2,6,14,27,29,37,41
2015-01-10,3,9,15,21,37,44,42
2015-01-03,5,10,17,21,27,35,33
