PlayDate,N01,N02,N03,N04,N05,N06,N07
2014-01-04,4,5,7,13,32,42,22
2014-01-11,2,6,10,14,16,39,19
2014-01-18,5,6,29,35,39,44,33
2014-01-25,9,11,19,23,30,39,40
2014-02-01,3,6,20,22,26,34,15
2014-02-08,21,25,26,27,30,40,15
2014-02-15,4,14,31,33,38,44,9
2014-02-22,4,15,16,22,24,29,39
2014-03-01,7,14,15,19,24,32,29
2014-03-08,7,21,25,40,41,44,26
2014-03-15,3,5,9,25,33,34,20
2014-03-22,10,13,18,21,24,41,40
2014-03-29,3,9,32,36,38,40,11
2014-04-05,7,9,14,24,32,44,5
2014-04-12,7,10,15,22,23,32,5
2014-04-19,15,18,19,29,32,45,14
2014-04-26,1,7,20,26,27,35,38
2014-05-03,4,18,26,29,31,44,30
2014-05-10,23,25,30,32,41,45,11
2014-05-17,15,26,27,33,35,45,13
2014-05-24,17,18,25,36,44,45,22
2014-05-31,8,27,28,29,37,39,19
2014-06-07,11,20,31,32,37,43,21
2014-06-14,6,9,18,19,21,24,5
2014-06-21,1,7,11,13,24,33,10
2014-06-28,10,22,33,36,38,43,13
2014-07-05,2,14,27,34,36,45,21
2014-07-12,21,23,24,25,37,43,8
2014-07-19,13,15,27,33,37,38,1
2014-07-26,5,15,21,31,32,45,23
2014-08-02,8,11,12,20,32,35,31
2014-08-09,11,17,18,20,22,33,41
2014-08-16,2,9,23,31,37,42,45
2014-08-23,5,14,17,23,44,45,32
2014-08-30,6,8,10,23,26,42,45
2014-09-06,4,7,13,16,21,30,33
2014-09-13,7,19,23,26,32,39,13
2014-09-20,2,4,5,25,27,40,45
2014-09-27,2,12,15,30,36,40,17
2014-10-04,4,13,31,35,38,40,12
2014-10-11,19,24,28,34,42,45,21
2014-10-18,6,14,20,22,27,33,19
2014-10-25,1,4,16,20,28,34,26
2014-11-01,1,22,23,30,36,45,37
2014-11-08,9,12,16,24,37,42,39
2014-11-15,3,9,19,20,31,42,23
2014-11-22,2,4,5,21,29,43,10
2014-11-29,3,14,16,17,44,45,15
2014-12-06,12,16,21,28,41,44,37
2014-12-13,1,13,19,27,31,39,32
2014-12-20,15,19,21,22,25,43,4
2014-12-27,4,16,24,38,41,42,5
