PlayDate,N01,N02,N03,N04,N05,N06,N07
2018-01-06,6,8,9,16,40,42,14
2018-01-13,1,9,13,14,21,38,16
2018-01-20,10,15,23,30,39,42,32
2018-01-27,5,18,21,24,34,44,29
2018-02-03,3,13,25,30,38,41,15
2018-02-10,11,18,23,24,27,40,45
2018-02-17,4,9,13,15,38,43,33
2018-02-24,10,19,24,25,34,41,20
2018-03-03,1,12,17,27,32,36,23
2018-03-10,3,14,15,18,27,29,30
2018-03-17,10,14,28,29,34,40,9
2018-03-24,2,25,28,31,42,45,40
2018-03-31,17,22,24,36,39,41,5
2018-04-07,12,14,22,24,25,44,35
2018-04-14,1,22,26,27,32,40,8
2018-04-21,10,13,19,20,22,25,7
2018-04-28,6,17,19,21,28,34,2
2018-05-05,3,13,14,25,26,33,38
2018-05-12,15,18,22,39,43,45,19
2018-05-19,4,15,18,29,37,39,31
2018-05-26,1,2,3,16,34,40,7
2018-06-02,1,7,10,40,41,43,4
2018-06-09,8,16,34,37,40,44,22
2018-06-16,9,12,15,21,32,38,33
2018-06-23,9,14,17,23,29,31,16
2018-06-30,4,9,26,30,35,42,37
2018-07-07,3,12,16,28,30,33,1
2018-07-14,17,19,25,35,38,41,13
2018-07-21,15,17,18,30,39,44,2
2018-07-28,2,4,5,20,31,34,25
2018-08-04,8,16,27,29,30,36,42
2018-08-11,10,19,32,34,36,43,4
2018-08-18,1,3,11,14,43,44,30
2018-08-25,14,17,22,32,34,38,2
2018-09-01,1,2,18,24,38,43,45
2018-09-08,3,10,17,19,38,39,16
2018-09-15,1,5,10,20,30,41,38
2018-09-22,1,27,29,31,37,38,23
2018-09-29,2,3,6,10,13,29,44
2018-10-06,5,11,23,33,36,41,34
2018-10-13,10,12,15,20,34,38,35
2018-10-20,1,9,21,36,44,45,42
2018-10-27,3,8,21,23,24,37,33
2018-11-03,18,23,24,26,37,39,35
2018-11-10,4,6,17,19,25,45,10
2018-11-17,2,5,8,35,42,43,34
2018-11-24,4,7,11,14,36,37,1
2018-12-01,8,14,19,20,26,31,16
2018-12-08,2,7,15,20,32,35,31
2018-12-15,2,25,31,36,43,44,12
2018-12-22,2,5,11,24,29,41,36
2018-12-29,6,13,15,21,26,35,10
