PlayDate,N01,N02,N03,N04,N05,N06,N07
2020-01-04,6,11,18,26,29,40,33
2020-01-11,13,14,28,29,37,39,36
2020-01-18,4,6,16,17,22,26,10
2020-01-25,2,9,33,34,36,43,44
2020-02-01,13,14,21,23,35,45,29
2020-02-08,2,14,17,22,33,35,18
2020-02-15,19,24,35,41,42,43,34
2020-02-22,4,8,16,26,30,43,36
2020-02-29,2,21,25,28,39,44,41
2020-03-07,7,10,17,29,30,37,19
2020-03-14,4,7,33,40,44,45,42
2020-03-21,9,10,25,27,29,44,6
2020-03-28,13,14,22,36,41,45,30
2020-04-04,23,24,26,30,33,40,41
2020-04-11,2,5,21,32,34,41,10
2020-04-18,1,9,11,21,39,43,23
2020-04-25,12,13,29,35,37,44,27
2020-05-02,2,8,12,27,35,40,1
2020-05-09,7,22,26,33,40,41,15
2020-05-16,1,4,5,8,17,29,16
2020-05-23,2,23,26,28,39,43,22
2020-05-30,1,11,12,17,28,40,13
2020-06-06,7,19,33,37,40,45,5
2020-06-13,3,4,10,19,23,40,14
2020-06-20,18,20,30,34,35,37,45
2020-06-27,11,16,20,28,35,36,7
2020-07-04,7,9,16,34,35,44,37
2020-07-11,6,20,21,23,39,45,3
2020-07-18,8,10,11,28,30,40,29
2020-07-25,6,9,11,31,43,45,18
2020-08-01,7,25,28,29,30,40,42
2020-08-08,4,14,17,18,35,39,43
2020-08-15,7,14,17,26,29,38,23
2020-08-22,4,12,20,26,30,34,14
2020-08-29,13,14,18,23,31,36,43
2020-09-05,6,17,24,35,38,43,16
2020-09-12,7,21,26,28,40,45,17
2020-09-19,6,14,26,30,37,40,35
2020-09-26,12,14,16,25,32,45,1
2020-10-03,7,8,22,30,39,42,21
2020-10-10,8,31,33,36,43,44,9
2020-10-17,1,3,6,13,29,32,35
2020-10-24,2,6,10,15,27,38,36
2020-10-31,17,19,22,29,34,40,43
2020-11-07,1,4,12,26,37,38,31
2020-11-14,1,7,9,11,37,41,28
2020-11-21,7,9,29,33,37,42,22
2020-11-28,6,9,21,22,38,45,35
2020-12-05,9,21,28,30,32,40,19
2020-12-12,22,23,25,41,44,45,2
2020-12-19,1,12,18,20,25,31,4
2020-12-26,5,7,8,13,21,26,10
