PlayDate,N01,N02,N03,N04,N05,N06,N07
2023-01-07,2,5,9,18,19,26,11
2023-01-14,3,12,20,28,34,36,41
2023-01-21,10,13,25,37,40,41,34
2023-01-28,1,17,23,31,32,35,19
2023-02-04,7,25,36,38,39,42,37
2023-02-11,14,15,26,36,42,43,9
2023-02-18,9,12,18,19,20,38,13
2023-02-25,8,9,12,22,25,34,14
2023-03-04,13,27,37,38,42,44,40
2023-03-11,1,2,28,31,40,42,14
2023-03-18,7,13,36,37,41,44,24
2023-03-25,27,30,32,34,37,43,24
2023-04-01,7,12,17,29,34,36,31
2023-04-08,6,9,11,15,34,35,17
2023-04-15,12,13,30,31,37,45,17
2023-04-22,9,15,23,25,36,38,43
2023-04-29,1,26,28,29,32,39,19
2023-05-06,12,14,21,25,34,38,22
2023-05-13,4,27,29,32,36,39,19
2023-05-20,1,3,7,23,34,40,45
2023-05-27,1,9,14,20,24,43,21
2023-06-03,10,13,18,22,23,39,29
2023-06-10,5,9,21,23,24,34,16
2023-06-17,3,12,13,34,36,41,40
2023-06-24,8,17,25,29,41,44,18
2023-07-01,7,18,28,29,30,44,39
2023-07-08,2,24,27,31,35,39,30
2023-07-15,6,11,14,16,21,44,34
2023-07-22,5,7,18,35,37,44,31
2023-07-29,6,9,17,28,32,33,10
2023-08-05,7,13,19,26,31,33,28
2023-08-12,3,13,22,31,34,37,2
2023-08-19,1,2,11,17,39,43,7
2023-08-26,8,11,29,31,39,44,33
2023-09-02,2,9,15,21,37,43,17
2023-09-09,9,10,16,21,34,41,33
2023-09-16,2,8,18,33,34,44,29
2023-09-23,4,6,9,21,29,40,33
2023-09-30,1,8,22,34,35,37,2
2023-10-07,1,4,10,19,24,42,22
2023-10-14,1,18,24,34,39,44,2
2023-10-21,8,21,22,24,27,30,34
2023-10-28,3,5,9,16,36,38,24
2023-11-04,19,26,29,31,37,39,14
2023-11-11,3,5,12,25,38,39,10
2023-11-18,1,2,4,7,12,44,38
2023-11-25,9,19,29,31,42,43,28
2023-12-02,15,16,18,20,21,40,35
2023-12-09,7,10,14,21,25,42,22
2023-12-16,2,20,31,34,36,37,40
2023-12-23,7,28,29,30,34,45,21
2023-12-30,1,12,15,19,29,39,44
