PlayDate,N01,N02,N03,N04,N05,N06,N07,N08
2018-01-05,1,3,13,15,28,36,49,14
2018-01-12,1,8,16,19,26,34,41,10
2018-01-19,9,18,25,30,39,40,43,5
2018-01-26,7,8,13,19,23,32,40,9
2018-02-02,3,8,9,24,28,31,44,32
2018-02-09,6,19,24,25,36,37,39,17
2018-02-16,5,14,22,23,35,40,49,43
2018-02-23,13,17,24,32,33,44,45,48
2018-03-02,7,25,26,28,32,36,37,2
2018-03-09,13,18,20,26,32,35,47,12
2018-03-16,13,24,29,31,35,36,42,37
2018-03-23,7,12,15,23,35,43,49,19
2018-03-30,1,12,18,19,21,24,41,15
2018-04-06,7,18,29,30,41,45,46,40
2018-04-13,1,8,9,22,29,30,32,17
2018-04-20,6,14,16,22,30,42,45,35
2018-04-27,8,9,11,17,37,39,41,19
2018-05-04,1,11,15,16,20,29,39,32
2018-05-11,11,22,28,33,39,43,47,23
2018-05-18,4,13,23,30,31,37,43,32
2018-05-25,7,10,13,19,24,31,41,1
2018-06-01,2,11,17,18,22,25,39,3
2018-06-08,12,25,27,29,34,44,45,7
2018-06-15,18,23,28,37,44,45,47,9
2018-06-22,3,10,16,28,31,38,47,20
2018-06-29,3,5,17,23,28,43,46,29
2018-07-06,1,11,20,32,41,42,44,47
2018-07-13,1,4,5,22,25,32,34,27
2018-07-20,6,8,12,19,20,25,49,18
2018-07-27,8,11,14,17,26,30,36,48
2018-08-03,9,11,23,33,35,36,42,6
2018-08-10,2,9,18,33,36,40,49,38
2018-08-17,12,17,22,27,28,29,35,43
2018-08-24,3,5,7,11,13,20,29,30
2018-08-31,2,4,18,19,20,39,44,11
2018-09-07,3,12,21,34,37,38,41,22
2018-09-14,1,3,5,10,16,27,43,14
2018-09-21,3,9,15,16,19,45,48,42
2018-09-28,25,28,31,36,42,44,49,37
2018-10-05,8,9,12,20,22,27,30,28
2018-10-12,18,31,38,45,46,47,48,16
2018-10-19,10,15,16,17,19,27,38,9
2018-10-26,2,3,4,8,9,20,30,45
2018-11-02,9,10,16,23,24,39,49,7
2018-11-09,2,12,31,34,39,48,49,1
2018-11-16,11,17,24,34,41,42,48,21
2018-11-23,1,7,13,14,22,42,48,47
2018-11-30,5,8,15,20,25,26,47,22
2018-12-07,2,9,15,23,26,30,41,13
2018-12-14,6,7,11,21,23,27,41,49
2018-12-21,7,21,23,25,31,34,45,37
2018-12-28,5,13,14,16,17,29,49,18
