PlayDate,N01,N02,N03,N04,N05,N06,N07,N08
2015-01-02,8,9,14,19,28,31,46,48
2015-01-09,3,7,12,18,31,33,35,26
2015-01-16,6,29,30,31,36,42,45,32
2015-01-23,1,14,15,18,26,42,48,39
2015-01-30,10,15,21,28,32,36,37,9
2015-02-06,1,5,7,13,14,33,46,47
2015-02-13,6,9,18,22,25,32,44,46
2015-02-20,26,34,38,41,46,48,49,10
2015-02-27,4,12,16,27,37,39,44,32
2015-03-06,2,8,9,10,24,26,41,37
2015-03-13,2,8,10,15,17,20,24,14
2015-03-20,7,10,16,35,36,42,45,24
2015-03-27,3,7,15,23,29,31,45,46
2015-04-03,10,11,23,28,32,34,41,29
2015-04-10,7,8,16,18,24,25,46,37
2015-04-17,7,11,14,15,19,30,41,22
2015-04-24,3,37,38,40,42,43,46,12
2015-05-01,6,18,20,37,40,44,46,49
2015-05-08,1,7,17,27,32,44,48,18
2015-05-15,16,23,24,25,40,46,47,17
2015-05-22,1,4,21,24,29,30,46,25
2015-05-29,1,30,38,39,44,45,47,43
2015-06-05,2,10,13,16,30,33,48,44
2015-06-12,4,7,11,19,34,38,48,45
2015-06-19,7,14,15,16,21,30,41,17
2015-06-26,2,4,16,23,30,32,46,38
2015-07-03,1,6,30,40,46,47,49,37
2015-07-10,12,14,23,25,31,38,40,36
2015-07-17,23,24,29,36,42,43,49,38
2015-07-24,2,4,11,19,28,29,38,42
2015-07-31,2,5,27,32,35,42,46,48
2015-08-07,5,13,20,37,39,40,41,28
2015-08-14,1,15,17,25,34,40,41,38
2015-08-21,3,13,15,22,33,41,49,11
2015-08-28,2,4,5,17,29,39,41,48
2015-09-04,7,8,15,19,36,37,41,43
2015-09-11,21,22,27,30,39,42,44,8
2015-09-18,13,16,17,21,35,40,46,18
2015-09-25,1,7,15,18,21,30,45,22
2015-10-02,10,12,24,26,34,43,47,38
2015-10-09,8,11,14,23,26,42,47,1
2015-10-16,9,14,19,21,31,32,40,16
2015-10-23,2,7,12,28,29,38,48,27
2015-10-30,2,11,19,38,43,45,49,9
2015-11-06,1,10,12,20,29,35,47,4
2015-11-13,7,11,19,38,40,41,42,49
2015-11-20,12,21,28,34,36,45,48,26
2015-11-27,4,8,9,20,23,45,46,31
2015-12-04,8,15,24,25,27,36,43,32
2015-12-11,7,12,28,34,45,46,48,49
2015-12-18,6,20,28,29,30,31,46,45
2015-12-25,5,8,9,12,22,39,45,38
