PlayDate,N01,N02,N03,N04,N05,N06,N07,N08
2020-01-03,8,18,20,24,31,37,39,34
2020-01-07,3,8,12,14,17,18,29,11
2020-01-10,10,13,14,24,28,47,48,12
2020-01-14,5,16,19,23,30,37,48,44
2020-01-17,5,6,36,39,40,46,48,34
2020-01-21,7,11,16,21,31,36,44,46
2020-01-24,2,11,14,21,23,34,36,5
2020-01-28,4,10,12,27,30,44,46,7
2020-01-31,2,27,30,39,44,45,49,17
2020-02-04,3,12,18,25,43,46,50,33
2020-02-07,21,24,26,31,36,48,49,39
2020-02-11,14,15,19,22,31,36,39,23
2020-02-14,14,17,20,34,38,45,49,5
2020-02-18,3,6,19,23,33,40,45,48
2020-02-21,4,7,14,37,48,49,50,28
2020-02-25,15,32,36,40,41,43,48,10
2020-02-28,21,27,30,32,33,36,46,38
2020-03-03,10,14,15,25,27,39,48,28
2020-03-06,2,9,10,35,41,42,47,40
2020-03-10,5,6,27,37,38,46,48,9
2020-03-13,7,14,15,35,36,49,50,11
2020-03-17,4,5,8,15,27,41,48,37
2020-03-20,9,16,17,18,21,22,27,31
2020-03-24,2,11,16,18,19,20,25,5
2020-03-27,3,4,13,14,30,36,41,21
2020-03-31,5,7,22,29,32,37,39,3
2020-04-03,5,9,10,25,27,29,38,31
2020-04-07,5,20,21,22,32,37,41,18
2020-04-10,3,9,10,14,15,19,20,25
2020-04-14,3,6,9,22,29,38,39,18
2020-04-17,2,15,21,29,40,47,50,35
2020-04-21,9,10,13,21,40,41,43,4
2020-04-24,8,9,19,26,27,31,46,48
2020-05-01,3,12,25,36,37,42,49,9
2020-05-05,25,28,32,41,42,44,45,18
2020-05-08,3,4,10,11,26,28,40,31
2020-05-12,11,19,22,26,33,46,48,1
2020-05-15,7,30,32,40,47,48,50,16
2020-05-19,22,23,24,25,37,40,49,19
2020-05-22,9,11,14,21,22,24,41,10
2020-05-26,5,27,34,37,39,41,47,20
2020-05-29,5,12,15,23,26,38,41,45
2020-06-02,8,14,16,17,29,41,42,47
2020-06-05,1,8,15,16,32,39,40,31
2020-06-09,4,16,19,32,35,36,38,28
2020-06-12,1,16,24,28,30,31,47,25
2020-06-16,1,3,22,30,31,37,40,6
2020-06-19,3,12,17,22,29,31,48,8
2020-06-23,2,3,6,13,37,42,46,19
2020-06-26,8,14,31,36,39,46,47,20
2020-06-30,11,12,22,33,37,48,49,41
2020-07-03,3,4,21,33,38,44,45,32
2020-07-07,9,20,21,22,25,26,37,3
2020-07-10,17,18,27,38,39,40,47,24
2020-07-14,3,9,21,35,44,47,48,23
2020-07-21,7,22,26,35,46,47,49,19
2020-07-24,17,20,27,29,37,39,41,10
2020-07-28,7,10,11,24,39,43,48,23
2020-07-31,8,16,19,22,28,31,38,25
2020-08-04,18,24,25,30,31,33,48,27
2020-08-07,9,21,26,28,30,37,44,31
2020-08-11,9,17,22,33,36,45,46,41
2020-08-14,3,22,37,39,41,43,44,20
2020-08-18,1,2,16,32,44,46,50,6
2020-08-21,1,2,5,11,20,30,39,27
2020-08-25,1,21,34,38,39,40,46,24
2020-08-28,5,8,9,28,32,48,50,40
2020-09-01,2,9,29,30,31,35,37,19
2020-09-04,7,18,22,26,35,41,50,11
2020-09-08,6,12,19,27,30,32,44,18
2020-09-11,4,15,16,17,35,46,50,13
2020-09-15,1,5,6,24,27,28,32,38
2020-09-18,2,11,22,25,32,40,44,27
2020-09-22,8,9,37,38,40,43,49,28
2020-09-25,1,7,9,28,38,48,50,13
2020-09-29,4,6,9,15,22,24,28,44
2020-10-06,4,5,9,19,28,34,44,8
2020-10-09,4,6,12,30,32,33,34,29
2020-10-13,3,10,13,19,21,45,49,12
2020-10-16,1,4,8,10,12,17,41,19
2020-10-20,8,27,30,44,46,47,50,32
2020-10-23,2,8,20,21,29,34,37,41
2020-10-27,2,9,11,29,33,39,44,15
2020-10-30,19,20,23,31,37,46,48,50
2020-11-03,5,7,14,21,26,34,49,31
2020-11-06,7,9,19,20,26,32,35,49
2020-11-10,4,6,18,27,28,30,40,13
2020-11-13,3,4,7,19,44,48,49,8
2020-11-17,6,18,21,30,31,34,38,1
2020-11-20,11,17,29,33,39,40,42,48
2020-11-24,6,8,13,27,41,46,47,39
2020-11-27,9,15,35,41,42,45,46,43
2020-12-01,1,4,9,15,18,24,31,43
2020-12-04,5,7,14,23,24,46,47,11
2020-12-08,5,13,14,21,36,37,43,40
2020-12-11,9,21,30,33,38,39,46,48
2020-12-15,1,4,20,33,44,45,49,47
2020-12-18,2,9,10,22,31,35,49,30
2020-12-22,4,29,30,37,38,43,44,15
2020-12-25,8,12,16,30,38,48,50,14
2020-12-29,8,12,23,25,29,43,46,13
