PlayDate,N01,N02,N03,N04,N05,N06,N07,N08
2014-01-03,7,16,31,35,39,44,48,42
2014-01-10,12,28,31,38,40,41,45,15
2014-01-17,4,9,18,32,35,38,40,12
2014-01-24,7,10,15,23,30,36,44,45
2014-01-31,6,10,16,27,38,40,45,39
2014-02-07,13,19,37,38,40,43,48,46
2014-02-14,6,8,11,16,17,19,24,29
2014-02-21,1,10,16,23,29,35,39,46
2014-02-28,4,7,20,22,26,28,29,47
2014-03-07,1,6,7,16,22,31,33,25
2014-03-14,3,4,5,7,31,33,40,49
2014-03-21,1,2,4,21,23,35,40,5
2014-03-28,8,15,16,21,31,37,39,20
2014-04-04,19,30,33,34,36,41,48,11
2014-04-11,1,3,14,33,35,39,45,28
2014-04-18,9,16,24,30,39,40,45,14
2014-04-25,3,9,24,25,28,36,40,48
2014-05-02,6,15,18,19,25,44,46,28
2014-05-09,5,7,29,35,39,41,49,14
2014-05-16,12,13,16,30,32,35,37,7
2014-05-23,3,11,16,24,31,39,43,2
2014-05-30,2,5,10,11,23,25,31,46
2014-06-06,3,5,17,30,36,47,49,31
2014-06-13,12,16,24,29,36,40,47,44
2014-06-20,12,17,32,36,43,44,49,4
2014-06-27,4,6,7,16,18,40,46,34
2014-07-04,5,10,11,20,26,38,46,44
2014-07-11,1,6,10,16,18,21,31,5
2014-07-18,1,3,16,33,34,40,42,2
2014-07-25,7,9,24,30,35,42,43,36
2014-08-01,1,2,5,10,11,25,34,36
2014-08-08,6,9,16,19,20,24,30,31
2014-08-15,9,16,17,27,32,38,47,37
2014-08-22,13,16,22,26,35,36,39,44
2014-08-29,1,23,26,33,35,38,42,18
2014-09-05,3,8,11,20,28,36,38,26
2014-09-12,5,6,8,13,24,37,46,30
2014-09-19,4,7,8,10,16,20,36,27
2014-09-26,2,3,5,18,37,38,46,33
2014-10-03,7,15,24,25,27,43,47,22
2014-10-10,5,13,18,28,31,38,44,46
2014-10-17,18,19,32,36,38,40,43,1
2014-10-24,8,27,30,32,34,35,42,17
2014-10-31,3,12,25,30,42,44,45,26
2014-11-07,1,3,6,8,14,20,30,28
2014-11-14,2,5,7,13,15,30,38,27
2014-11-21,6,18,19,26,37,39,47,21
2014-11-28,3,4,7,12,17,26,34,1
2014-12-05,10,14,15,16,42,45,48,49
2014-12-12,2,14,30,34,38,47,48,16
2014-12-19,3,6,13,17,22,25,43,47
2014-12-26,15,20,29,39,40,43,46,12
