PlayDate,N01,N02,N03,N04,N05,N06,N07,N08
2016-01-01,6,10,13,14,25,41,46,8
2016-01-08,13,15,21,24,25,36,48,10
2016-01-15,7,26,27,31,32,33,42,45
2016-01-22,20,21,22,34,42,43,45,1
2016-01-29,5,11,14,17,28,41,47,46
2016-02-05,6,7,8,9,17,23,30,18
2016-02-12,19,20,26,31,34,39,48,18
2016-02-19,2,11,20,22,33,40,43,4
2016-02-26,6,9,22,23,36,38,47,12
2016-03-04,4,14,24,41,42,44,48,26
2016-03-11,9,17,27,30,31,34,42,21
2016-03-18,6,8,15,24,26,39,44,40
2016-03-25,1,6,15,32,42,45,46,44
2016-04-01,5,6,27,28,31,41,45,12
2016-04-08,9,12,13,14,28,39,41,38
2016-04-15,1,9,17,19,25,27,38,44
2016-04-22,13,16,20,35,37,43,49,6
2016-04-29,11,21,22,24,26,36,43,10
2016-05-06,1,8,10,24,26,37,45,47
2016-05-13,3,6,8,17,21,28,34,2
2016-05-20,16,17,19,22,31,47,49,1
2016-05-27,1,14,16,20,26,32,34,18
2016-06-03,12,21,28,37,40,43,47,11
2016-06-10,5,11,15,26,27,33,39,46
2016-06-17,1,16,20,29,33,44,46,15
2016-06-24,2,17,22,24,26,42,48,6
2016-07-01,10,12,14,28,36,39,45,26
2016-07-08,1,8,16,25,30,42,48,28
2016-07-15,19,30,31,36,40,44,49,6
2016-07-22,9,26,28,32,37,40,45,46
2016-07-29,11,15,25,26,39,47,49,30
2016-08-05,4,6,10,20,40,46,47,39
2016-08-12,5,7,15,18,19,27,28,25
2016-08-19,19,22,25,32,37,45,47,40
2016-08-26,3,10,17,19,26,27,42,46
2016-09-02,1,12,15,22,25,45,48,16
2016-09-09,4,10,11,27,29,32,41,42
2016-09-16,7,12,14,15,27,34,44,6
2016-09-23,3,13,24,36,39,44,45,19
2016-09-30,4,12,17,21,32,38,42,46
2016-10-07,8,9,12,24,29,36,37,17
2016-10-14,14,18,22,25,36,39,44,34
2016-10-21,33,34,36,42,44,45,47,14
2016-10-28,3,5,19,29,33,34,44,41
2016-11-04,4,23,29,36,39,44,46,24
2016-11-11,8,14,18,20,24,39,46,23
2016-11-18,7,10,21,24,38,40,49,3
2016-11-25,2,11,20,22,31,35,47,39
2016-12-02,5,8,20,21,29,40,47,7
2016-12-09,11,17,24,26,34,35,39,16
2016-12-16,2,9,27,32,38,39,43,45
2016-12-23,1,5,11,26,28,30,41,49
2016-12-30,5,10,14,19,31,33,47,27
