PlayDate,N01,N02,N03,N04,N05,N06,N07,N08
2010-01-01,7,9,13,18,27,33,44,15
2010-01-08,8,17,21,23,24,28,39,31
2010-01-15,12,17,22,30,34,43,49,48
2010-01-22,17,26,30,32,34,39,41,49
2010-01-29,16,17,22,24,40,41,47,45
2010-02-05,10,19,25,29,39,41,42,21
2010-02-12,9,12,17,23,34,42,47,37
2010-02-19,4,23,27,32,35,43,47,24
2010-02-26,2,27,30,32,35,36,38,39
2010-03-05,5,8,18,22,32,39,45,19
2010-03-12,17,18,19,21,32,40,49,6
2010-03-19,1,3,6,34,37,42,45,27
2010-03-26,3,11,12,16,34,36,37,18
2010-04-02,4,9,12,15,28,29,43,17
2010-04-09,11,16,29,30,31,33,42,24
2010-04-16,6,7,17,20,32,44,49,46
2010-04-23,8,11,16,21,24,28,41,37
2010-04-30,1,3,4,5,16,32,33,41
2010-05-07,3,6,10,14,19,25,33,1
2010-05-14,7,17,19,23,31,36,41,1
2010-05-21,14,16,30,35,36,45,49,10
2010-05-28,11,18,23,24,27,28,39,1
2010-06-04,3,18,27,30,33,40,45,31
2010-06-11,2,7,12,25,29,32,35,26
2010-06-18,5,6,26,29,34,36,43,49
2010-06-25,5,22,28,31,39,46,48,4
2010-07-02,9,19,25,26,29,30,44,33
2010-07-09,9,10,19,24,28,30,31,46
2010-07-16,10,14,26,34,43,47,48,28
2010-07-23,17,19,26,29,34,35,38,47
2010-07-30,5,7,11,40,41,47,48,6
2010-08-06,1,5,6,32,36,38,44,29
2010-08-13,19,25,27,29,30,36,46,15
2010-08-20,4,5,7,8,18,30,35,39
2010-08-27,3,14,26,27,29,32,34,1
2010-09-03,12,17,27,28,31,36,48,37
2010-09-10,4,17,27,32,34,39,47,13
2010-09-17,2,5,6,43,46,47,48,39
2010-09-24,9,22,25,30,31,39,42,19
2010-10-01,10,12,13,25,28,29,41,39
2010-10-08,3,4,5,8,13,22,33,32
2010-10-15,3,14,17,25,30,33,39,7
2010-10-22,12,15,19,20,28,29,39,14
2010-10-29,2,6,21,26,28,33,47,11
2010-11-05,7,10,24,30,35,36,39,3
2010-11-12,13,15,17,18,19,47,49,38
2010-11-19,4,13,25,29,36,40,48,24
2010-11-26,12,21,23,27,28,29,37,9
2010-12-03,1,10,13,26,43,46,49,31
2010-12-10,7,9,12,20,28,38,44,10
2010-12-17,1,16,28,29,33,37,47,24
2010-12-24,8,23,25,26,33,41,43,21
2010-12-31,2,7,10,22,32,34,38,1
